PeakChr	PeakStart	PeakEnd	variant	CredibleSet	EnhancerID	CellType	PosteriorProb
chr1	3326747	3326947	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326597-3327097	epithelial_cell_of_prostate-ENCODE	NA
chr1	3326747	3326947	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326597-3327097	fibroblast_of_lung-Roadmap	NA
chr1	3326752	3326952	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326602-3327102	THP1-Engreitz	NA
chr1	3326753	3326953	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326603-3327103	iPS_DF_19.11-ENCODE	NA
chr1	3326753	3326953	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326603-3327103	CD8-positive_alpha-beta_T_cell-ENCODE	NA
chr1	3326753	3326953	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326603-3327103	bipolar_neuron_from_iPSC-ENCODE	NA
chr1	3326753	3326953	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326603-3327103	BJAB-Engreitz	NA
chr1	3326753	3326953	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326603-3327103	large_intestine_fetal-Roadmap	NA
chr1	3326754	3326954	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326604-3327104	stomach-ENCODE	NA
chr1	3326755	3326955	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326605-3327105	MCF-7-ENCODE	NA
chr1	3326756	3327270	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326606-3327420	osteoblast-ENCODE	NA
chr1	3326756	3327270	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326606-3327420	osteoblast-ENCODE	NA
chr1	3326756	3327270	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326606-3327420	osteoblast-ENCODE	NA
chr1	3326759	3326959	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326609-3327109	fibroblast_of_arm-ENCODE	NA
chr1	3326760	3326960	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326610-3327110	adrenal_gland-ENCODE	NA
chr1	3326761	3326961	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326611-3327111	LNCAP	NA
chr1	3326764	3326964	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326614-3327114	TeloHAEC_IL1b	NA
chr1	3326764	3326964	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326614-3327114	astrocyte-ENCODE	NA
chr1	3326765	3326965	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326615-3327115	HT29	NA
chr1	3326765	3326965	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326615-3327115	muscle_of_leg_fetal-Roadmap	NA
chr1	3326765	3326965	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326615-3327115	coronary_artery-ENCODE	NA
chr1	3326765	3326965	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326615-3327115	H1-hESC-Roadmap	NA
chr1	3326766	3326966	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326616-3327116	PC-9-ENCODE	NA
chr1	3326767	3326967	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326617-3327117	HeLa-S3-ENCODE	NA
chr1	3326768	3326968	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326618-3327118	fibroblast_of_dermis-ENCODE	NA
chr1	3326768	3326968	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326618-3327118	foreskin_fibroblast-Roadmap	NA
chr1	3326768	3326968	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326618-3327118	fibroblast_of_lung_fetal-ENCODE	NA
chr1	3326768	3326968	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326618-3327118	pancreas-Roadmap	NA
chr1	3326768	3326968	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326618-3327118	astrocyte-Roadmap	NA
chr1	3326770	3326970	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326620-3327120	THP_pmaLPS_ATAC_24h	NA
chr1	3326770	3326970	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326620-3327120	H9-ENCODE	NA
chr1	3326771	3326971	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326621-3327121	muscle_of_leg_fetal-ENCODE	NA
chr1	3326772	3326972	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326622-3327122	cardiac_muscle_cell-ENCODE	NA
chr1	3326773	3326973	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326623-3327123	LoVo	NA
chr1	3326773	3326973	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326623-3327123	small_intestine_fetal-Roadmap	NA
chr1	3326773	3326973	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326623-3327123	adipose_tissue-ENCODE	NA
chr1	3326773	3326973	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326623-3327123	coronary_artery_smooth_muscle_cell-Miller2016	NA
chr1	3326774	3327769	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326624-3327919	hepatocyte-ENCODE	NA
chr1	3326774	3326974	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326624-3327124	Adipocyte-Claussnitzer_d2	NA
chr1	3326774	3327426	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326624-3327576	myotube-ENCODE	NA
chr1	3326774	3327769	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326624-3327919	hepatocyte-ENCODE	NA
chr1	3326774	3327769	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326624-3327919	hepatocyte-ENCODE	NA
chr1	3326774	3327426	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326624-3327576	myotube-ENCODE	NA
chr1	3326774	3327426	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326624-3327576	myotube-ENCODE	NA
chr1	3326775	3326975	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326625-3327125	ovary-Roadmap	NA
chr1	3326776	3326976	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326626-3327126	adrenal_gland_fetal-Roadmap	NA
chr1	3326776	3326976	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326626-3327126	Panc1-ENCODE	NA
chr1	3326777	3326977	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326627-3327127	HCT116-AID_ENCODE_DHS_untreated	NA
chr1	3326777	3326977	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326627-3327127	HCT116-AID_ENCODE_DHS_Auxin6hr	NA
chr1	3326777	3326977	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326627-3327127	HCT116-ENCODE	NA
chr1	3326778	3326978	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326628-3327128	HepG2-Roadmap	NA
chr1	3326779	3327371	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326629-3327521	muscle_of_trunk_fetal-Roadmap	NA
chr1	3326779	3327371	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326629-3327521	muscle_of_trunk_fetal-Roadmap	NA
chr1	3326779	3327371	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326629-3327521	muscle_of_trunk_fetal-Roadmap	NA
chr1	3326781	3326981	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326631-3327131	A673-ENCODE	NA
chr1	3326781	3326981	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326631-3327131	stomach_fetal-Roadmap	NA
chr1	3326782	3326982	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326632-3327132	body_of_pancreas-ENCODE	NA
chr1	3326783	3326983	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326633-3327133	TeloHAEC_VEGF	NA
chr1	3326783	3326983	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326633-3327133	transverse_colon-ENCODE	NA
chr1	3326784	3326984	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326634-3327134	MCF10A-Ji2017	NA
chr1	3326785	3326985	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326635-3327135	H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap	NA
chr1	3326788	3326988	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326638-3327138	TeloHAEC_Ctrl	NA
chr1	3326792	3326992	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326642-3327142	Adipocyte-Claussnitzer_d6	NA
chr1	3326792	3326992	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326642-3327142	SK-N-SH-ENCODE	NA
chr1	3326793	3326993	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326643-3327143	Adipocyte-Claussnitzer_d0	NA
chr1	3326794	3326994	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326644-3327144	stomach-Roadmap	NA
chr1	3326796	3327434	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326646-3327584	muscle_of_trunk_fetal-ENCODE	NA
chr1	3326796	3327434	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326646-3327584	muscle_of_trunk_fetal-ENCODE	NA
chr1	3326796	3327434	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326646-3327584	muscle_of_trunk_fetal-ENCODE	NA
chr1	3326796	3326996	rs6670123	CAD_Harst2017-rs2493298	genic|chr1:3326646-3327146	thyroid_gland-ENCODE	NA
chr1	3326815	3327946	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326665-3328096	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	NA
chr1	3326815	3327946	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326665-3328096	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	NA
chr1	3326828	3327961	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326678-3328111	THP_pmaLPS_ATAC_0h	NA
chr1	3326828	3327961	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326678-3328111	THP_pmaLPS_ATAC_0h	NA
chr1	3326845	3327045	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326695-3327195	THP_pmaLPS_ATAC_12h	NA
chr1	3326845	3327045	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326695-3327195	THP_pmaLPS_ATAC_12h	NA
chr1	3326879	3327079	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326729-3327229	BJAB_anti-IgM_anti-CD40_4hr-Engreitz	NA
chr1	3326879	3327079	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326729-3327229	BJAB_anti-IgM_anti-CD40_4hr-Engreitz	NA
chr1	3326970	3327170	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326820-3327320	eahy926	NA
chr1	3326970	3327170	rs2493296	CAD_Harst2017-rs2493298	genic|chr1:3326820-3327320	eahy926	NA
chr1	3328603	3328803	rs2493292	CAD_Harst2017-rs2493298	genic|chr1:3328453-3328953	U937-Engreitz	NA
chr1	3328603	3328803	rs2493292	CAD_Harst2017-rs2493298	genic|chr1:3328453-3328953	U937-Engreitz	NA
chr1	3328922	3329463	rs2493291	CAD_Harst2017-rs2493298	genic|chr1:3328772-3329613	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	NA
chr1	3329358	3329558	rs2493291	CAD_Harst2017-rs2493298	genic|chr1:3329208-3329708	THP_pmaLPS_ATAC_120h	NA
chr1	3329695	3330463	rs72633335	CAD_Harst2017-rs2493298	genic|chr1:3329545-3330613	hepatocyte-ENCODE	NA
chr1	3330104	3330304	rs72633335	CAD_Harst2017-rs2493298	genic|chr1:3329954-3330454	pancreatic-ductal-cell-AMP	NA
chr1	3330349	3330916	rs2493288	CAD_Harst2017-rs2493298	genic|chr1:3330199-3331066	osteoblast-ENCODE	NA
chr1	3330349	3330916	rs2493290	CAD_Harst2017-rs2493298	genic|chr1:3330199-3331066	osteoblast-ENCODE	NA
chr1	3330463	3331164	rs2493290	CAD_Harst2017-rs2493298	genic|chr1:3330313-3331314	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	NA
chr1	3330463	3331164	rs2493288	CAD_Harst2017-rs2493298	genic|chr1:3330313-3331314	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	NA
chr1	3330687	3330887	rs2493288	CAD_Harst2017-rs2493298	genic|chr1:3330537-3331037	SK-N-SH-ENCODE	NA
chr1	3330736	3330936	rs2493288	CAD_Harst2017-rs2493298	genic|chr1:3330586-3331086	BJAB-Engreitz	NA
chr1	3330738	3330938	rs2493288	CAD_Harst2017-rs2493298	genic|chr1:3330588-3331088	CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016	NA
chr1	3330744	3330944	rs2493288	CAD_Harst2017-rs2493298	genic|chr1:3330594-3331094	NCCIT	NA
chr1	38395511	38397729	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38395361-38397879	trophoblast_cell-ENCODE	NA
chr1	38395511	38397729	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38395361-38397879	trophoblast_cell-ENCODE	NA
chr1	38395899	38397621	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38395749-38397771	MDA-MB-231	NA
chr1	38395899	38397621	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38395749-38397771	MDA-MB-231	NA
chr1	38396314	38398020	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396164-38398170	T-cell-ENCODE	NA
chr1	38396314	38398020	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396164-38398170	T-cell-ENCODE	NA
chr1	38396318	38397618	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396168-38397768	CD19-positive_B_cell-Roadmap	NA
chr1	38396318	38397618	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396168-38397768	CD19-positive_B_cell-Roadmap	NA
chr1	38396325	38398020	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396175-38398170	stomach_fetal-ENCODE	NA
chr1	38396325	38398020	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396175-38398170	stomach_fetal-ENCODE	NA
chr1	38396331	38397635	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396181-38397785	PC-9-ENCODE	NA
chr1	38396331	38397635	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396181-38397785	PC-9-ENCODE	NA
chr1	38396336	38398023	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396186-38398173	CD3-positive_T_cell-Roadmap	NA
chr1	38396336	38398023	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396186-38398173	CD3-positive_T_cell-Roadmap	NA
chr1	38396356	38397619	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396206-38397769	HeLa-S3-ENCODE	NA
chr1	38396356	38397619	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396206-38397769	HeLa-S3-ENCODE	NA
chr1	38396389	38397900	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396239-38398050	CD8-positive_alpha-beta_T_cell-ENCODE	NA
chr1	38396389	38397900	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396239-38398050	CD8-positive_alpha-beta_T_cell-ENCODE	NA
chr1	38396724	38397626	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396574-38397776	CD4-positive_helper_T_cell-ENCODE	NA
chr1	38396724	38397626	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396574-38397776	CD4-positive_helper_T_cell-ENCODE	NA
chr1	38396785	38397624	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396635-38397774	TeloHAEC_IL1b	NA
chr1	38396785	38397624	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396635-38397774	TeloHAEC_IL1b	NA
chr1	38396822	38397651	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396672-38397801	erythroblast-Corces2016	NA
chr1	38396822	38397651	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396672-38397801	erythroblast-Corces2016	NA
chr1	38396885	38397901	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396735-38398051	bipolar_neuron_from_iPSC-ENCODE	NA
chr1	38396885	38397901	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396735-38398051	bipolar_neuron_from_iPSC-ENCODE	NA
chr1	38396887	38398014	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396737-38398164	spinal_cord_fetal-ENCODE	NA
chr1	38396887	38397953	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396737-38398103	OCI-LY7-ENCODE	NA
chr1	38396887	38397953	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396737-38398103	OCI-LY7-ENCODE	NA
chr1	38396887	38398014	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396737-38398164	spinal_cord_fetal-ENCODE	NA
chr1	38396890	38397937	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396740-38398087	Karpas-422-ENCODE	NA
chr1	38396890	38397937	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396740-38398087	Karpas-422-ENCODE	NA
chr1	38396905	38397660	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396755-38397810	H9-Roadmap	NA
chr1	38396905	38397660	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396755-38397810	H9-Roadmap	NA
chr1	38396910	38397627	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396760-38397777	LoVo	NA
chr1	38396910	38397627	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396760-38397777	LoVo	NA
chr1	38396912	38397626	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396762-38397776	thymus_fetal-ENCODE	NA
chr1	38396912	38397626	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396762-38397776	thymus_fetal-ENCODE	NA
chr1	38396927	38397622	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396777-38397772	B_cell-ENCODE	NA
chr1	38396927	38397622	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396777-38397772	B_cell-ENCODE	NA
chr1	38396944	38397638	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396794-38397788	keratinocyte-ENCODE	NA
chr1	38396944	38397638	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396794-38397788	keratinocyte-ENCODE	NA
chr1	38396946	38397590	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396796-38397740	GM12878-Roadmap	NA
chr1	38396946	38397590	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396796-38397740	GM12878-Roadmap	NA
chr1	38396954	38397871	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396804-38398021	thymus_fetal-Roadmap	NA
chr1	38396954	38397871	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396804-38398021	thymus_fetal-Roadmap	NA
chr1	38396955	38397632	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396805-38397782	H9-ENCODE	NA
chr1	38396955	38397632	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396805-38397782	H9-ENCODE	NA
chr1	38397008	38397847	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396858-38397997	TeloHAEC_VEGF	NA
chr1	38397008	38397847	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396858-38397997	TeloHAEC_VEGF	NA
chr1	38397014	38397639	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396864-38397789	body_of_pancreas-ENCODE	NA
chr1	38397014	38397639	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396864-38397789	body_of_pancreas-ENCODE	NA
chr1	38397014	38397621	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396864-38397771	TeloHAEC_TNF	NA
chr1	38397014	38397621	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396864-38397771	TeloHAEC_TNF	NA
chr1	38397025	38397657	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396875-38397807	induced_pluripotent_stem_cell-ENCODE	NA
chr1	38397025	38397657	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396875-38397807	induced_pluripotent_stem_cell-ENCODE	NA
chr1	38397034	38397713	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396884-38397863	iPS_DF_19.11-ENCODE	NA
chr1	38397034	38397713	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396884-38397863	iPS_DF_19.11-ENCODE	NA
chr1	38397038	38397637	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396888-38397787	small_intestine_fetal-ENCODE	NA
chr1	38397038	38397637	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396888-38397787	small_intestine_fetal-ENCODE	NA
chr1	38397044	38397645	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396894-38397795	A673-ENCODE	NA
chr1	38397044	38397645	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396894-38397795	A673-ENCODE	NA
chr1	38397075	38397613	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396925-38397763	psoas_muscle-Roadmap	NA
chr1	38397075	38397613	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396925-38397763	psoas_muscle-Roadmap	NA
chr1	38397081	38397601	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396931-38397751	CD14-positive_monocyte-ENCODE	NA
chr1	38397081	38397601	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396931-38397751	CD14-positive_monocyte-ENCODE	NA
chr1	38397090	38397597	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396940-38397747	Eahy926_IL1b	NA
chr1	38397090	38397597	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396940-38397747	Eahy926_IL1b	NA
chr1	38397121	38397885	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396971-38398035	Eahy926_TNF	NA
chr1	38397121	38397885	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396971-38398035	Eahy926_TNF	NA
chr1	38397129	38397673	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396979-38397823	CD56-positive_natural_killer_cells-Roadmap	NA
chr1	38397129	38397673	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396979-38397823	CD56-positive_natural_killer_cells-Roadmap	NA
chr1	38397130	38397637	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396980-38397787	placenta-Roadmap	NA
chr1	38397130	38397637	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396980-38397787	placenta-Roadmap	NA
chr1	38397135	38397632	rs34655914	CAD_Harst2017-rs61776719	genic|chr1:38396985-38397782	small_intestine_fetal-Roadmap	NA
chr1	38397135	38397632	rs35267671	CAD_Harst2017-rs61776719	genic|chr1:38396985-38397782	small_intestine_fetal-Roadmap	NA
