CredibleSet	chr	start	end	nSNP	AnyCoding	AnyPromoter	AnySpliceSite	Trait	Source	LocusID	BestSNPPos	BestSNP	BestSNPNearestGene	CodingVariantGene	SpliceSiteVariantGene	PromoterVariantGene
CAD_Harst2017-rs11509880	chr7	12261911	12269417	2	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11509880	12261911	rs11509880	TMEM106B	TMEM106B	NA	NA
CAD_Harst2017-rs11556924	chr7	129663496	129663496	1	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11556924	129663496	rs11556924	ZC3HC1	ZC3HC1	NA	NA
CAD_Harst2017-rs11591147	chr1	55505647	55505647	1	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11591147	55505647	rs11591147	PCSK9	PCSK9	NA	NA
CAD_Harst2017-rs11601507	chr11	5701074	5701074	1	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11601507	5701074	rs11601507	TRIM5	TRIM5	NA	NA
CAD_Harst2017-rs11617955	chr13	110818102	110818102	1	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11617955	110818102	rs11617955	COL4A1	NA	NA	NA
CAD_Harst2017-rs11677932	chr2	238219499	238233483	6	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11677932	238219499	rs7580831	COL6A3	NA	NA	NA
CAD_Harst2017-rs116843064	chr19	8429323	8429323	1	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs116843064	8429323	rs116843064	ANGPTL4	ANGPTL4	NA	NA
CAD_Harst2017-rs11723436	chr4	120900282	120909501	5	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11723436	120900282	rs13134800	LOC100996694	NA	NA	NA
CAD_Harst2017-rs11806316	chr1	115744449	115776590	13	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11806316	115744449	rs12120548	NGF	NA	NA	NA
CAD_Harst2017-rs11810571	chr1	151737349	151770138	27	FALSE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs11810571	151737349	rs1196456	MRPL9	NA	NA	TDRKH
CAD_Harst2017-rs11830157	chr12	118265441	118265441	1	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs11830157	118265441	rs11830157	KSR2	NA	NA	NA
CAD_Harst2017-rs12202017	chr6	134159399	134209837	21	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs12202017	134159399	rs1969783	TARID,LINC01312	NA	NA	NA
CAD_Harst2017-rs12493885	chr3	153758863	153946463	133	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs12493885	153758863	rs1521324	ARHGEF26-AS1	ARHGEF26	NA	NA
CAD_Harst2017-rs12500824	chr4	77416627	77420407	12	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs12500824	77416627	rs12500824	SHROOM3	NA	NA	NA
CAD_Harst2017-rs12801636	chr11	65349063	65391317	4	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs12801636	65390554	rs4930295	PCNX3	EHBP1L1	NA	NA
CAD_Harst2017-rs12897	chr3	172115902	172115902	1	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs12897	172115902	rs12897	FNDC3B	NA	NA	NA
CAD_Harst2017-rs12999907	chr2	164957251	165009688	43	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs12999907	164957251	rs12999907	FIGN	NA	NA	NA
CAD_Harst2017-rs13003675	chr2	233557043	233727071	106	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs13003675	233557043	rs13024793	GIGYF2	KCNJ13;GIGYF2	NA	NA
CAD_Harst2017-rs1317507	chr13	113625367	113636504	12	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs1317507	113625367	rs55804996	MCF2L-AS1	NA	NA	NA
CAD_Harst2017-rs1321309	chr6	36632688	36645696	5	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs1321309	36632688	rs13196885	PANDAR	CDKN1A	NA	NA
CAD_Harst2017-rs1351525	chr11	13284345	13315439	42	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs1351525	13284345	rs2035380	ARNTL	NA	NA	NA
CAD_Harst2017-rs13723	chr17	27935688	27955761	6	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs13723	27941886	rs13723	CORO6	NA	NA	NA
CAD_Harst2017-rs15052	chr19	41813375	41826020	3	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs15052	41825191	rs73045269	CCDC97	NA	NA	NA
CAD_Harst2017-rs1508798	chr5	9543585	9557122	15	FALSE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs1508798	9546995	rs1614229	SNHG18	NA	NA	SNHG18;SEMA5A
CAD_Harst2017-rs1591805	chr6	126683594	126717064	3	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs1591805	126683594	rs9398803	CENPW	NA	NA	NA
CAD_Harst2017-rs16844401	chr4	3444503	3449781	3	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs16844401	3449652	rs16844401	HGFAC	HGFAC	NA	NA
CAD_Harst2017-rs16986953	chr2	19942473	19942473	1	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs16986953	19942473	rs16986953	LINC00954	NA	NA	NA
CAD_Harst2017-rs17080091	chr6	150984431	151008874	11	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs17080091	150984431	rs62434119	PLEKHG1	NA	NA	NA
CAD_Harst2017-rs17517928	chr2	216287497	216304384	5	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs17517928	216287497	rs16854041	FN1	NA	NA	NA
CAD_Harst2017-rs17581137	chr15	96146414	96179390	9	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs17581137	96146414	rs17581137	LINC00924	NA	NA	NA
CAD_Harst2017-rs17608766	chr17	45013271	45055107	5	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs17608766	45013271	rs17608766	GOSR2	NA	NA	NA
CAD_Harst2017-rs17678683	chr2	145286559	145303576	5	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs17678683	145286559	rs17678683	LINC01412	NA	NA	NA
CAD_Harst2017-rs17680741	chr10	82250572	82262826	4	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs17680741	82250572	rs55943223	TSPAN14	NA	NA	NA
CAD_Harst2017-rs17843797	chr3	124446077	124481760	8	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs17843797	124446077	rs17282057	UMPS	NA	NA	NA
CAD_Harst2017-rs1800449	chr5	121277028	121413208	5	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs1800449	121410529	rs10059661	LOX	LOX	NA	NA
CAD_Harst2017-rs185244	chr3	138092889	138122122	3	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs185244	138119952	rs2306374	MRAS	NA	NA	NA
CAD_Harst2017-rs1867624	chr17	62377645	62406971	7	FALSE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs1867624	62377645	rs8080754	PECAM1	NA	NA	PECAM1
CAD_Harst2017-rs1870634	chr10	44480694	44496971	8	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs1870634	44480694	rs1870635	LINC00841	NA	NA	NA
CAD_Harst2017-rs1892094	chr1	169092123	169117882	12	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs1892094	169092123	rs4656648	ATP1B1	NA	NA	NA
CAD_Harst2017-rs1924981	chr13	28967660	29025116	12	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs1924981	28996734	rs9513110	FLT1	NA	NA	NA
CAD_Harst2017-rs2071382	chr15	91416550	91429042	8	TRUE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs2071382	91422543	rs8039305	FURIN	FES	NA	FES
CAD_Harst2017-rs2083460	chr15	89562814	89580299	45	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2083460	89562814	rs28687065	ABHD2	NA	NA	NA
CAD_Harst2017-rs2083636	chr8	19819077	19870271	71	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2083636	19819077	rs320	LPL	NA	NA	NA
CAD_Harst2017-rs2107595	chr7	19049388	19052733	2	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2107595	19049388	rs2107595	TWIST1	NA	NA	NA
CAD_Harst2017-rs2107732	chr7	45036785	45077978	2	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2107732	45036785	rs73105827	CCM2	CCM2	NA	NA
CAD_Harst2017-rs2145598	chr14	58712914	58853140	15	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2145598	58712914	rs6573194	PSMA3	ARID4A	NA	NA
CAD_Harst2017-rs2229357	chr12	57679414	57844049	25	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2229357	57679414	rs56205943	R3HDM2	INHBC	NA	NA
CAD_Harst2017-rs2244608	chr12	121416650	121419926	4	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2244608	121416650	rs1169288	HNF1A	HNF1A	NA	NA
CAD_Harst2017-rs2246942	chr10	91002804	91011458	11	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2246942	91002804	rs1412445	LIPA	NA	NA	NA
CAD_Harst2017-rs2258287	chr12	121431225	121455873	13	TRUE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs2258287	121431225	rs1169300	HNF1A	HNF1A	NA	C12orf43
CAD_Harst2017-rs2306556	chr4	156633444	156661063	8	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2306556	156633444	rs56329057	GUCY1A3	NA	NA	NA
CAD_Harst2017-rs246600	chr5	142516897	142518675	2	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs246600	142516897	rs246600	ARHGAP26	NA	NA	NA
CAD_Harst2017-rs247616	chr16	56987015	56994528	14	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs247616	56987015	rs12446515	CETP	NA	NA	NA
CAD_Harst2017-rs2493298	chr1	3325912	3330884	10	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2493298	3325912	rs2493298	PRDM16	PRDM16	NA	NA
CAD_Harst2017-rs2571445	chr2	218667372	218683154	11	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2571445	218667372	rs3791979	TNS1	TNS1	NA	NA
CAD_Harst2017-rs2681472	chr12	89942390	90090867	22	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2681472	89942390	rs11105328	POC1B,POC1B-GALNT4	NA	NA	NA
CAD_Harst2017-rs2820315	chr1	201787940	201884952	31	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2820315	201787940	rs2678210	NAV1,IPO9-AS1	SHISA4;LMOD1	NA	NA
CAD_Harst2017-rs2832227	chr21	30519457	30596186	35	FALSE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs2832227	30519457	rs12627426	MAP3K7CL	NA	NA	LINC00189
CAD_Harst2017-rs2839812	chr11	103660567	103696851	7	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2839812	103660567	rs974819	PDGFD	NA	NA	NA
CAD_Harst2017-rs28451064	chr21	35593827	35593827	1	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs28451064	35593827	rs28451064	LINC00310	NA	NA	NA
CAD_Harst2017-rs2891168	chr9	22088090	22125347	25	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2891168	22088090	rs10738606	CDKN2B-AS1	NA	NA	NA
CAD_Harst2017-rs2954029	chr8	126475770	126491733	22	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2954029	126475770	rs6999569	TRIB1	NA	NA	NA
CAD_Harst2017-rs2972146	chr2	227083411	227117698	31	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs2972146	227083411	rs1399627	LOC646736	NA	NA	NA
CAD_Harst2017-rs3130683	chr6	31845985	32026257	7	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs3130683	31845985	rs9267658	SLC44A4	NA	NA	NA
CAD_Harst2017-rs36096196	chr1	2251982	2252205	2	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs36096196	2252205	rs36096196	MORN1	NA	NA	NA
CAD_Harst2017-rs3775058	chr4	96075965	96119919	7	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs3775058	96116778	rs3796459	UNC5C	NA	NA	NA
CAD_Harst2017-rs3851738	chr16	75312548	75491327	235	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs3851738	75312548	rs11646044	CFDP1	NA	NA	NA
CAD_Harst2017-rs3918226	chr7	150690176	150690176	1	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs3918226	150690176	rs3918226	NOS3	NA	NA	NA
CAD_Harst2017-rs3936511	chr5	55856375	55861601	8	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs3936511	55856375	rs3843467	C5orf67	NA	NA	NA
CAD_Harst2017-rs4266144	chr3	156852141	156852943	6	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs4266144	156852141	rs4368453	LINC00880	NA	NA	NA
CAD_Harst2017-rs4299376	chr2	44072576	44074431	5	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs4299376	44072576	rs4299376	ABCG8	NA	NA	NA
CAD_Harst2017-rs4472337	chr6	34552797	34830754	43	TRUE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs4472337	34706201	rs2814960	SNRPC	UHRF1BP1	NA	SNRPC
CAD_Harst2017-rs4613862	chr6	82592568	82710144	9	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs4613862	82592568	rs9361866	LINC01526	NA	NA	NA
CAD_Harst2017-rs4643373	chr17	46970259	47135875	3	FALSE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs4643373	47123423	rs4643373	IGF2BP1	NA	NA	ATP5G1
CAD_Harst2017-rs4678145	chr3	124450081	124453022	2	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs4678145	124450081	rs4678145	UMPS	NA	NA	NA
CAD_Harst2017-rs4752700	chr10	124237338	124237612	4	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs4752700	124237338	rs2421028	HTRA1	NA	NA	NA
CAD_Harst2017-rs4918072	chr10	105643223	105693644	10	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs4918072	105643223	rs2067831	STN1	NA	NA	NA
CAD_Harst2017-rs507666	chr9	136141870	136155000	6	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs507666	136141870	rs2519093	ABO	NA	NA	NA
CAD_Harst2017-rs56015508	chr6	39147179	39174922	10	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs56015508	39147179	rs12211281	KCNK5	NA	NA	NA
CAD_Harst2017-rs56170783	chr1	56965664	57016131	18	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs56170783	56965664	rs9970807	PLPP3	NA	NA	NA
CAD_Harst2017-rs582384	chr2	45896437	45896437	1	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs582384	45896437	rs582384	PRKCE	NA	NA	NA
CAD_Harst2017-rs585967	chr2	21263639	21294975	7	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs585967	21263639	rs531819	APOB	NA	NA	NA
CAD_Harst2017-rs60154123	chr1	210464638	210480361	13	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs60154123	210465315	rs650854	HHAT	NA	NA	NA
CAD_Harst2017-rs6102343	chr20	39924279	39924279	1	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs6102343	39924279	rs6102343	ZHX3	NA	NA	NA
CAD_Harst2017-rs61776719	chr1	38397341	38461821	6	TRUE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs61776719	38455891	rs4360494	SF3A3	INPP5B	NA	SF3A3
CAD_Harst2017-rs61848342	chr10	12278021	12303813	5	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs61848342	12300790	rs7916879	CDC123	NA	NA	NA
CAD_Harst2017-rs6494488	chr15	64979291	65024204	5	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs6494488	64979291	rs7403751	OAZ2	NA	NA	NA
CAD_Harst2017-rs6511720	chr19	11187324	11202306	39	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs6511720	11187324	rs143020224	LDLR	NA	NA	NA
CAD_Harst2017-rs667920	chr3	136069472	136211960	5	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs667920	136069472	rs667920	STAG1	NA	NA	NA
CAD_Harst2017-rs6689306	chr1	154395946	154426970	25	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs6689306	154395946	rs6689306	IL6R	IL6R	NA	NA
CAD_Harst2017-rs6700559	chr1	200638662	200649131	17	FALSE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs6700559	200638662	rs11588318	DDX59,LOC101929224	NA	NA	LOC101929224
CAD_Harst2017-rs67180937	chr1	222793632	222862992	30	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs67180937	222793632	rs2378584	MIA3	MIA3	NA	NA
CAD_Harst2017-rs6841581	chr4	148364920	148414651	20	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs6841581	148364920	rs77028772	EDNRA	NA	NA	NA
CAD_Harst2017-rs6905288	chr6	43757082	43758873	2	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs6905288	43758873	rs6905288	VEGFA	NA	NA	NA
CAD_Harst2017-rs6984210	chr8	22030065	22055813	29	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs6984210	22030065	rs73225842	BMP1	NA	NA	NA
CAD_Harst2017-rs699	chr1	230844273	230851536	10	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs699	230844273	rs2493133	AGT	AGT	NA	NA
CAD_Harst2017-rs6997340	chr8	18255410	18286997	2	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs6997340	18286997	rs6997340	NAT2	NA	NA	NA
CAD_Harst2017-rs7116641	chr11	43599791	43729987	32	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs7116641	43635499	rs2862965	MIR670HG	NA	NA	NA
CAD_Harst2017-rs7164479	chr15	79114453	79141784	13	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs7164479	79114453	rs28455815	ADAMTS7	NA	NA	NA
CAD_Harst2017-rs7199941	chr16	81902570	81908304	29	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs7199941	81902570	rs7202250	PLCG2	NA	NA	NA
CAD_Harst2017-rs72627509	chr4	57750725	57841213	28	TRUE	TRUE	FALSE	CAD_Harst2017	Harst2017	rs72627509	57750725	rs73165969	REST	REST	NA	REST
CAD_Harst2017-rs72743461	chr15	67441750	67455630	8	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs72743461	67441750	rs72743461	SMAD3	NA	NA	NA
CAD_Harst2017-rs73015714	chr19	17833724	17861697	21	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs73015714	17833724	rs73013767	MAP1S	MAP1S	NA	NA
CAD_Harst2017-rs7306455	chr12	95346657	95512389	8	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs7306455	95346657	rs11107813	NDUFA12	FGD6	NA	NA
CAD_Harst2017-rs7412	chr19	45412079	45412079	1	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs7412	45412079	rs7412	APOE	APOE	NA	NA
CAD_Harst2017-rs742115	chr6	11311255	11327021	3	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs742115	11327021	rs742115	NEDD9	NA	NA	NA
CAD_Harst2017-rs748431	chr3	14890939	14938047	5	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs748431	14928077	rs748431	FGD5	NA	NA	NA
CAD_Harst2017-rs7500448	chr16	83045790	83045790	1	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs7500448	83045790	rs7500448	CDH13	NA	NA	NA
CAD_Harst2017-rs7528419	chr1	109817192	109822166	10	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs7528419	109817192	rs7528419	CELSR2	NA	NA	NA
CAD_Harst2017-rs7568458	chr2	85760395	85809989	19	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs7568458	85760395	rs6731005	PARTICL	MAT2A	NA	NA
CAD_Harst2017-rs7617773	chr3	48172687	48197614	33	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs7617773	48172687	rs7374376	CDC25A	NA	NA	NA
CAD_Harst2017-rs7623687	chr3	49162284	49621367	13	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs7623687	49381898	rs6774721	USP4	LAMB2	NA	NA
CAD_Harst2017-rs7633770	chr3	46686248	46695074	3	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs7633770	46686248	rs6804112	LOC100132146	NA	NA	NA
CAD_Harst2017-rs7678555	chr4	120900282	120909501	3	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs7678555	120900282	rs13134800	LOC100996694	NA	NA	NA
CAD_Harst2017-rs76954792	chr17	30023645	30033514	11	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs76954792	30023645	rs11658518	COPRS	NA	NA	NA
CAD_Harst2017-rs7696431	chr4	169687725	169698873	7	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs7696431	169687725	rs7696431	PALLD	NA	NA	NA
CAD_Harst2017-rs77335401	chr5	131667353	131795310	5	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs77335401	131759825	rs77335401	C5orf56	NA	NA	NA
CAD_Harst2017-rs7947761	chr11	100610546	100636996	27	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs7947761	100619326	rs61910508	ARHGAP42	NA	NA	NA
CAD_Harst2017-rs8068952	chr17	59239149	59286644	10	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs8068952	59269257	rs12940987	BCAS3	NA	NA	NA
CAD_Harst2017-rs840616	chr2	188127331	188235611	109	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs840616	188127331	rs62172532	CALCRL	NA	NA	NA
CAD_Harst2017-rs867186	chr20	33537157	33796192	152	TRUE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs867186	33537157	rs35291022	GSS	MYH7B;PROCR	NA	NA
CAD_Harst2017-rs885150	chr9	124414751	124422403	13	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs885150	124414751	rs10818578	DAB2IP	NA	NA	NA
CAD_Harst2017-rs9349379	chr6	12903957	12903957	1	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs9349379	12903957	rs9349379	PHACTR1	NA	NA	NA
CAD_Harst2017-rs9367716	chr6	57160572	57160572	1	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs9367716	57160572	rs9367716	PRIM2	NA	NA	NA
CAD_Harst2017-rs944172	chr9	110517130	110542327	7	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs944172	110517130	rs1970014	KLF4	NA	NA	NA
CAD_Harst2017-rs9501744	chr6	1616265	1620037	7	FALSE	FALSE	FALSE	CAD_Harst2017	Harst2017	rs9501744	1616265	rs62390615	FOXC1	NA	NA	NA
