CredibleSet	LeadVariant	TargetGene	variant	chr	position	Coding	codingVariant	CellTypeOftheClosestECPeak	variantInClosestECPeak	RankOfGeneTSSDistanceToECPeakWithVariant	CellTypesWithEPInteractions	MaxABC.Score	MaxABCVariant	MaxABC.Rank	ECCellTypesWithEPInteractions	MaxABC.Score.EC	MacABCECVariant	MaxABC.Rank.ECOnly	lead_SNP_to_TSS_distance	rank_lead_SNP_to_TSS
CAD_Harst2017-rs10840293	rs10840293	WEE1	rs491205	chr11	9767559	NA	NA	NA	NA	NA	CD19-positive_B_cell-Roadmap	0.019123	TRUE	2	NA	NA	NA	NA	-155969	2
CAD_Harst2017-rs10857147	rs10857147	C4orf22	rs13125101	chr4	81174592	NA	NA	NA	NA	NA	K562-Roadmap	0.022307	TRUE	2	NA	NA	NA	NA	75801	3
CAD_Harst2017-rs10857147	rs10857147	FGF5	rs13125101	chr4	81174592	NA	NA	NA	NA	NA	K562-Roadmap	0.055648	TRUE	1	NA	NA	NA	NA	6669	1
CAD_Harst2017-rs11057401	rs11057401	ATP6V0A2	rs2178663	chr12	124433905	NA	NA	NA	NA	NA	bipolar_neuron_from_iPSC-ENCODE	0.020646	TRUE	6	NA	NA	NA	NA	-230442	5
CAD_Harst2017-rs11057401	rs11057401	ATP6V0A2	rs7955815	chr12	124432706	NA	NA	NA	NA	NA	bipolar_neuron_from_iPSC-ENCODE	0.020646	TRUE	6	NA	NA	NA	NA	-230442	5
CAD_Harst2017-rs11057401	rs11057401	CCDC92	rs11057401	chr12	124427306	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30226	1
CAD_Harst2017-rs11057401	rs11057401	CCDC92	rs12823740	chr12	124458002	NA	NA	NA	NA	NA	pancreatic-beta-cell-AMP	0.3084	TRUE	3	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.149697	TRUE	3	30226	1
CAD_Harst2017-rs11057401	rs11057401	DNAH10	rs4930721	chr12	124417889	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-180265	4
CAD_Harst2017-rs11057401	rs11057401	DNAH10	rs7311233	chr12	124475940	NA	NA	NA	NA	NA	large_intestine_fetal-Roadmap	0.025899	TRUE	4	NA	NA	NA	NA	-180265	4
CAD_Harst2017-rs11057401	rs11057401	EIF2B1	rs7311233	chr12	124475940	NA	NA	NA	NA	NA	large_intestine_fetal-Roadmap	0.016187	TRUE	7	NA	NA	NA	NA	-308983	7
CAD_Harst2017-rs11057401	rs11057401	GTF2H3	rs7311233	chr12	124475940	NA	NA	NA	NA	NA	large_intestine_fetal-Roadmap	0.016187	TRUE	7	NA	NA	NA	NA	-309021	8
CAD_Harst2017-rs11057401	rs11057401	RFLNA	rs12823740	chr12	124458002	NA	NA	NA	NA	NA	pancreatic-beta-cell-AMP	0.308402	TRUE	2	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.149699	TRUE	2	30424	2
CAD_Harst2017-rs11057401	rs11057401	TCTN2	rs11057401	chr12	124427306	NA	NA	NA	NA	NA	osteoblast-ENCODE	0.021389	TRUE	5	NA	NA	NA	NA	-271647	6
CAD_Harst2017-rs11057401	rs11057401	TCTN2	rs35825716	chr12	124427524	NA	NA	NA	NA	NA	osteoblast-ENCODE	0.021389	TRUE	5	NA	NA	NA	NA	-271647	6
CAD_Harst2017-rs11057401	rs11057401	TCTN2	rs7131882	chr12	124426736	NA	NA	NA	NA	NA	osteoblast-ENCODE	0.021389	TRUE	5	NA	NA	NA	NA	-271647	6
CAD_Harst2017-rs11057401	rs11057401	ZNF664	rs12823740	chr12	124458002	NA	NA	NA	NA	NA	pancreatic-beta-cell-AMP	0.308403	TRUE	1	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.1497	TRUE	1	30455	3
CAD_Harst2017-rs11057830	rs11057830	AACS	rs10846744	chr12	125312425	NA	NA	NA	NA	NA	placenta-ENCODE	0.029068	TRUE	3	NA	NA	NA	NA	242859	6
CAD_Harst2017-rs11057830	rs11057830	BRI3BP	rs10846744	chr12	125312425	NA	NA	NA	NA	NA	H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap	0.024118	TRUE	6	NA	NA	NA	NA	171140	4
CAD_Harst2017-rs11057830	rs11057830	DHX37	rs10846744	chr12	125312425	NA	NA	NA	NA	NA	H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap	0.034813	TRUE	2	NA	NA	NA	NA	166614	3
CAD_Harst2017-rs11057830	rs11057830	NCOR2	rs10846744	chr12	125312425	NA	NA	NA	NA	NA	placenta-ENCODE	0.027151	TRUE	4	NA	NA	NA	NA	-255043	7
CAD_Harst2017-rs11057830	rs11057830	SCARB1	rs10846744	chr12	125312425	NA	NA	NA	NA	NA	H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap	0.087926	TRUE	1	NA	NA	NA	NA	41466	1
CAD_Harst2017-rs11057830	rs11057830	UBC	rs10846744	chr12	125312425	NA	NA	NA	NA	NA	H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap	0.0202	TRUE	7	NA	NA	NA	NA	92534	2
CAD_Harst2017-rs11057830	rs11057830	ZNF664	rs10846744	chr12	125312425	NA	NA	NA	NA	NA	placenta-ENCODE	0.025896	TRUE	5	NA	NA	NA	NA	-849292	8
CAD_Harst2017-rs111245230	rs111245230	SVEP1	rs10817003	chr9	113148239	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	172385	3
CAD_Harst2017-rs111245230	rs111245230	SVEP1	rs111245230	chr9	113169775	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	172385	3
CAD_Harst2017-rs11191416	rs11191416	AS3MT	rs17878846	chr10	104630412	NA	NA	NA	NA	NA	H9-Roadmap	0.121531	TRUE	3	NA	NA	NA	NA	24293	3
CAD_Harst2017-rs11191416	rs11191416	BORCS7	rs3824754	chr10	104614350	NA	NA	NA	NA	NA	LNCAP	0.271151	TRUE	2	endothelial_cell_of_umbilical_vein-Roadmap	0.175021	TRUE	1	9050	2
CAD_Harst2017-rs11191416	rs11191416	CNNM2	rs12221064	chr10	104677126	NA	NA	NA	NA	NA	LoVo	0.309916	TRUE	1	Eahy926_IL1b	0.12711	TRUE	2	73158	5
CAD_Harst2017-rs11191416	rs11191416	CNNM2	rs943037	chr10	104835919	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73158	5
CAD_Harst2017-rs11191416	rs11191416	CYP17A1	rs17115100	chr10	104591393	NA	NA	NA	NA	NA	adrenal_gland_fetal-ENCODE	0.032943	TRUE	5	NA	NA	NA	NA	-7626	1
CAD_Harst2017-rs11191416	rs11191416	INA	rs11191580	chr10	104906211	NA	NA	NA	NA	NA	adrenal_gland_fetal-ENCODE	0.023553	TRUE	6	NA	NA	NA	NA	432003	18
CAD_Harst2017-rs11191416	rs11191416	NT5C2	rs11191582	chr10	104913653	NA	NA	NA	NA	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein-Roadmap	0.032173	TRUE	3	348147	11
CAD_Harst2017-rs11191416	rs11191416	NT5C2	rs74233809	chr10	104913940	NA	NA	NA	NA	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein-Roadmap	0.032173	TRUE	3	348147	11
CAD_Harst2017-rs11191416	rs11191416	NT5C2	rs79237883	chr10	104940946	NA	NA	NA	NA	NA	thymus_fetal-ENCODE	0.097854	TRUE	4	NA	NA	NA	NA	348147	11
CAD_Harst2017-rs112370447	rs112370447	BCAP29	rs2520249	chr7	107146748	NA	NA	NA	NA	NA	placenta-Roadmap	0.045452	TRUE	5	NA	NA	NA	NA	43641	3
CAD_Harst2017-rs112370447	rs112370447	CBLL1	rs2520249	chr7	107146748	NA	NA	NA	NA	NA	placenta-Roadmap	0.03534	TRUE	6	NA	NA	NA	NA	207361	6
CAD_Harst2017-rs112370447	rs112370447	COG5	rs2520249	chr7	107146748	NA	NA	NA	NA	NA	placenta-Roadmap	0.079198	TRUE	1	NA	NA	NA	NA	28179	2
CAD_Harst2017-rs112370447	rs112370447	DLD	rs2520249	chr7	107146748	NA	NA	NA	NA	NA	placenta-Roadmap	0.022758	TRUE	7	NA	NA	NA	NA	354771	8
CAD_Harst2017-rs112370447	rs112370447	DUS4L	rs2520249	chr7	107146748	NA	NA	NA	NA	NA	placenta-Roadmap	0.079192	TRUE	2	NA	NA	NA	NA	27621	1
CAD_Harst2017-rs112370447	rs112370447	GPR22	rs986994	chr7	107104115	NA	NA	NA	NA	NA	H9-ENCODE	0.046156	TRUE	4	NA	NA	NA	NA	-66279	4
CAD_Harst2017-rs112370447	rs112370447	LAMB1	rs2520249	chr7	107146748	NA	NA	NA	NA	NA	placenta-Roadmap	0.016034	TRUE	10	NA	NA	NA	NA	467024	10
CAD_Harst2017-rs112370447	rs112370447	PRKAR2B	rs2520249	chr7	107146748	NA	NA	NA	NA	NA	placenta-Roadmap	0.022102	TRUE	8	NA	NA	NA	NA	-491603	11
CAD_Harst2017-rs112370447	rs112370447	SLC26A3	rs2520249	chr7	107146748	NA	NA	NA	NA	NA	LoVo	0.017332	TRUE	9	NA	NA	NA	NA	266898	7
CAD_Harst2017-rs112370447	rs112370447	SLC26A4	rs2178497	chr7	107278901	NA	NA	NA	NA	NA	CD19-positive_B_cell-Roadmap	0.05539	TRUE	3	NA	NA	NA	NA	124299	5
CAD_Harst2017-rs112635299	rs112635299	SERPINA1	rs28929474	chr14	94844947	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18887	2
CAD_Harst2017-rs114123510	rs114123510	ABI2	rs72926769	chr2	203798318	NA	NA	NA	NA	NA	placenta-Roadmap	0.018881	TRUE	5	NA	NA	NA	NA	361749	7
CAD_Harst2017-rs114123510	rs114123510	CARF	rs72926769	chr2	203798318	NA	NA	NA	NA	NA	placenta-Roadmap	0.049658	TRUE	2	NA	NA	NA	NA	-54272	3
CAD_Harst2017-rs114123510	rs114123510	CARF	rs72932557	chr2	203846817	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-54272	3
CAD_Harst2017-rs114123510	rs114123510	FAM117B	rs144505847	chr2	203672406	NA	NA	NA	NA	NA	epithelial_cell_of_prostate-ENCODE	0.031347	TRUE	4	NA	NA	NA	NA	-331312	6
CAD_Harst2017-rs114123510	rs114123510	ICA1L	rs149846585	chr2	203736251	NA	NA	NA	NA	NA	pancreatic-alpha-cell-AMP	0.278477	TRUE	1	TeloHAEC_TNF	0.10473	TRUE	1	-94504	4
CAD_Harst2017-rs114123510	rs114123510	NBEAL1	rs72932575	chr2	203866857	NA	NA	NA	NA	NA	pancreas-Roadmap	0.043288	TRUE	3	NA	NA	NA	NA	48389	1
CAD_Harst2017-rs114123510	rs114123510	NBEAL1	rs72934556	chr2	203990789	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48389	1
CAD_Harst2017-rs114123510	rs114123510	WDR12	rs35212307	chr2	203765756	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-54263	2
CAD_Harst2017-rs114123510	rs114123510	WDR12	rs72926769	chr2	203798318	NA	NA	NA	NA	NA	placenta-Roadmap	0.049658	TRUE	2	NA	NA	NA	NA	-54263	2
CAD_Harst2017-rs11509880	rs11509880	TMEM106B	rs3173615	chr7	12269417	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11064	1
CAD_Harst2017-rs11556924	rs11556924	ZC3HC1	rs11556924	chr7	129663496	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27795	1
CAD_Harst2017-rs11591147	rs11591147	PCSK9	rs11591147	chr1	55505647	TRUE	TRUE	NA	NA	NA	LoVo	0.196978	TRUE	1	NA	NA	NA	NA	-499	1
CAD_Harst2017-rs11601507	rs11601507	TRIM5	rs11601507	chr11	5701074	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5265	1
CAD_Harst2017-rs11677932	rs11677932	ACKR3	rs11677932	chr2	238223955	NA	NA	NA	NA	NA	cardiac_muscle_cell-ENCODE	0.028273	TRUE	2	NA	NA	NA	NA	-745576	8
CAD_Harst2017-rs11677932	rs11677932	COL6A3	rs11677932	chr2	238223955	NA	NA	NA	NA	NA	cardiac_muscle_cell-ENCODE	0.055733	TRUE	1	NA	NA	NA	NA	98895	1
CAD_Harst2017-rs11677932	rs11677932	COPS8	rs11677932	chr2	238223955	NA	NA	NA	NA	NA	cardiac_muscle_cell-ENCODE	0.027248	TRUE	3	NA	NA	NA	NA	-229872	3
CAD_Harst2017-rs11677932	rs11677932	LRRFIP1	rs11677932	chr2	238223955	NA	NA	NA	NA	NA	cardiac_muscle_cell-ENCODE	0.018417	TRUE	7	NA	NA	NA	NA	376851	6
CAD_Harst2017-rs11677932	rs11677932	MLPH	rs11677932	chr2	238223955	NA	NA	NA	NA	NA	stomach_fetal-ENCODE	0.021576	TRUE	6	NA	NA	NA	NA	171906	2
CAD_Harst2017-rs11677932	rs11677932	PRLH	rs13032404	chr2	238233483	NA	NA	NA	NA	NA	H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap	0.02169	TRUE	5	NA	NA	NA	NA	251261	4
CAD_Harst2017-rs11677932	rs11677932	RAB17	rs11677932	chr2	238223955	NA	NA	NA	NA	NA	cardiac_muscle_cell-ENCODE	0.023645	TRUE	4	NA	NA	NA	NA	275814	5
CAD_Harst2017-rs116843064	rs116843064	ANGPTL4	rs116843064	chr19	8429323	TRUE	TRUE	NA	NA	NA	white_adipose-Loft2014	0.176503	TRUE	1	TeloHAEC_IL1b	0.134122	TRUE	1	-313	1
CAD_Harst2017-rs11810571	rs11810571	MRPL9	rs1521185	chr1	151764049	NA	NA	NA	NA	NA	bipolar_neuron_from_iPSC-ENCODE	0.112965	TRUE	2	NA	NA	NA	NA	-25916	4
CAD_Harst2017-rs11810571	rs11810571	MRPL9	rs3811414	chr1	151763246	NA	NA	NA	NA	NA	bipolar_neuron_from_iPSC-ENCODE	0.112965	TRUE	2	NA	NA	NA	NA	-25916	4
CAD_Harst2017-rs11810571	rs11810571	MRPL9	rs3811415	chr1	151763767	NA	NA	NA	NA	NA	bipolar_neuron_from_iPSC-ENCODE	0.112965	TRUE	2	NA	NA	NA	NA	-25916	4
CAD_Harst2017-rs11810571	rs11810571	TDRKH	rs1521185	chr1	151764049	NA	NA	NA	NA	NA	bipolar_neuron_from_iPSC-ENCODE	0.261979	TRUE	1	NA	NA	NA	NA	702	1
CAD_Harst2017-rs11810571	rs11810571	TDRKH	rs3811414	chr1	151763246	NA	NA	NA	NA	NA	bipolar_neuron_from_iPSC-ENCODE	0.261979	TRUE	1	NA	NA	NA	NA	702	1
CAD_Harst2017-rs11810571	rs11810571	TDRKH	rs3811415	chr1	151763767	NA	NA	NA	NA	NA	bipolar_neuron_from_iPSC-ENCODE	0.261979	TRUE	1	NA	NA	NA	NA	702	1
CAD_Harst2017-rs12202017	rs12202017	SLC2A12	rs1969783	chr6	134159399	NA	NA	NA	NA	NA	H1-hESC-ENCODE	0.018162	TRUE	4	NA	NA	NA	NA	200638	4
CAD_Harst2017-rs12202017	rs12202017	TARID	rs2327429	chr6	134209837	NA	NA	NA	NA	NA	ovary-Roadmap	0.233294	TRUE	2	NA	NA	NA	NA	36993	1
CAD_Harst2017-rs12202017	rs12202017	TBPL1	rs1969783	chr6	134159399	NA	NA	NA	NA	NA	H1-hESC-ENCODE	0.018739	TRUE	3	NA	NA	NA	NA	101149	3
CAD_Harst2017-rs12202017	rs12202017	TCF21	rs2327429	chr6	134209837	NA	NA	NA	NA	NA	ovary-Roadmap	0.233298	TRUE	1	NA	NA	NA	NA	37108	2
CAD_Harst2017-rs12493885	rs12493885	ARHGEF26	rs12493885	chr3	153839866	TRUE	TRUE	NA	NA	NA	H9-Roadmap	0.284015	TRUE	1	NA	NA	NA	NA	-718	1
CAD_Harst2017-rs12493885	rs12493885	ARHGEF26	rs12497267	chr3	153839960	TRUE	TRUE	NA	NA	NA	H9-Roadmap	0.284015	TRUE	1	NA	NA	NA	NA	-718	1
CAD_Harst2017-rs12493885	rs12493885	ARHGEF26	rs1727887	chr3	153839465	NA	NA	NA	NA	NA	H9-Roadmap	0.284015	TRUE	1	NA	NA	NA	NA	-718	1
CAD_Harst2017-rs12493885	rs12493885	C3orf79	rs357497	chr3	153943068	NA	NA	NA	NA	NA	LNCAP	0.029672	TRUE	3	NA	NA	NA	NA	-637583	4
CAD_Harst2017-rs12493885	rs12493885	DHX36	rs357497	chr3	153943068	NA	NA	NA	NA	NA	LNCAP	0.034146	TRUE	2	NA	NA	NA	NA	202420	2
CAD_Harst2017-rs12493885	rs12493885	GPR149	rs17766586	chr3	153778918	NA	NA	NA	NA	NA	spinal_cord_fetal-ENCODE	0.026184	TRUE	4	NA	NA	NA	NA	307638	3
CAD_Harst2017-rs12801636	rs12801636	EHBP1L1	rs3741380	chr11	65349063	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-47809	6
CAD_Harst2017-rs13003675	rs13003675	C2orf82	rs895430	chr2	233725483	NA	NA	NA	NA	NA	HepG2-Roadmap	0.100947	TRUE	1	NA	NA	NA	NA	150694	4
CAD_Harst2017-rs13003675	rs13003675	EFHD1	rs1947105	chr2	233721455	NA	NA	NA	NA	NA	HepG2-Roadmap	0.018417	TRUE	6	NA	NA	NA	NA	-85903	3
CAD_Harst2017-rs13003675	rs13003675	EIF4E2	rs1947105	chr2	233721455	NA	NA	NA	NA	NA	HeLa-S3-ENCODE	0.015047	TRUE	8	NA	NA	NA	NA	-168813	6
CAD_Harst2017-rs13003675	rs13003675	GIGYF2	rs12997185	chr2	233560587	NA	NA	NA	NA	NA	T-cell-ENCODE	0.016323	TRUE	7	NA	NA	NA	NA	-22095	1
CAD_Harst2017-rs13003675	rs13003675	GIGYF2	rs3816334	chr2	233708806	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-22095	1
CAD_Harst2017-rs13003675	rs13003675	INPP5D	rs1947105	chr2	233721455	NA	NA	NA	NA	NA	liver-ENCODE	0.03595	TRUE	4	NA	NA	NA	NA	340567	16
CAD_Harst2017-rs13003675	rs13003675	KCNJ13	rs1801251	chr2	233633460	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57166	2
CAD_Harst2017-rs13003675	rs13003675	KCNJ13	rs283486	chr2	233644223	NA	NA	NA	NA	NA	spinal_cord_fetal-ENCODE	0.036785	TRUE	3	NA	NA	NA	NA	57166	2
CAD_Harst2017-rs13003675	rs13003675	NEU2	rs1947105	chr2	233721455	NA	NA	NA	NA	NA	myotube-ENCODE	0.037954	TRUE	2	NA	NA	NA	NA	313272	14
CAD_Harst2017-rs13003675	rs13003675	NGEF	rs1947105	chr2	233721455	NA	NA	NA	NA	NA	liver-ENCODE	0.029454	TRUE	5	NA	NA	NA	NA	293842	12
CAD_Harst2017-rs13003675	rs13003675	TIGD1	rs1947105	chr2	233721455	NA	NA	NA	NA	NA	HeLa-S3-ENCODE	0.015047	TRUE	8	NA	NA	NA	NA	-168809	5
CAD_Harst2017-rs1317507	rs1317507	MCF2L	rs9549620	chr13	113633421	NA	NA	NA	NA	NA	heart_ventricle-ENCODE	0.032595	TRUE	1	NA	NA	NA	NA	24247	1
CAD_Harst2017-rs1321309	rs1321309	BRPF3	rs3829964	chr6	36644498	NA	NA	NA	NA	NA	Adipocyte-Claussnitzer_d2	0.01643	TRUE	11	NA	NA	NA	NA	-474087	18
CAD_Harst2017-rs1321309	rs1321309	C6orf89	rs3829964	chr6	36644498	NA	NA	NA	NA	NA	Adipocyte-Claussnitzer_d2	0.029127	TRUE	4	NA	NA	NA	NA	215003	9
CAD_Harst2017-rs1321309	rs1321309	CDKN1A	rs2395655	chr6	36645696	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.118946	TRUE	1	7819	3
CAD_Harst2017-rs1321309	rs1321309	CDKN1A	rs3829964	chr6	36644498	NA	NA	NA	NA	NA	Adipocyte-Claussnitzer_d2	0.213397	TRUE	1	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013	0.118946	TRUE	1	7819	3
