chr	start	end	variant	PosteriorProb	Disease	CredibleSet	CellType
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	stomach-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	HeLa-S3-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	stomach_fetal-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	adrenal_gland-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	HCT116-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	hepatocyte-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	bipolar_neuron_from_iPSC-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	HepG2-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	transverse_colon-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	HT29
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	A549_treated_with_ethanol_0.02_percent_for_1_hour-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	spinal_cord_fetal-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	astrocyte-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	iPS_DF_19.11-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	small_intestine_fetal-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	astrocyte-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	SK-N-SH-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	large_intestine_fetal-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	adrenal_gland_fetal-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	LNCAP
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	LoVo
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	skeletal_muscle_myoblast-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	MCF10A-Ji2017
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	MCF-7-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	pancreas-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	fibroblast_of_lung_fetal-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	CD34-positive_mobilized-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	THP_pmaLPS_ATAC_24h
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	THP_pmaLPS_ATAC_48h
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	CD8-positive_alpha-beta_T_cell-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	coronary_artery-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	coronary_artery_smooth_muscle_cell-Miller2016
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	THP1-Engreitz
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	TeloHAEC_VEGF
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	endothelial_cell_of_umbilical_vein-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	THP_pmaLPS_ATAC_96h
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	epithelial_cell_of_prostate-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	fibroblast_of_arm-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	fibroblast_of_dermis-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	TeloHAEC_IL1b
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	fibroblast_of_dermis-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	HCT116-AID_ENCODE_DHS_untreated
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	TeloHAEC_Ctrl
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	fibroblast_of_lung-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	cardiac_muscle_cell-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	foreskin_fibroblast-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	stomach-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	H1-hESC-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	stomach_fetal-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	H9-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	body_of_pancreas-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	H9-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	BJAB-Engreitz
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	thyroid_gland-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	HCT116-AID_ENCODE_DHS_Auxin6hr
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	myotube-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	ovary-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	muscle_of_leg_fetal-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	myotube_originated_from_skeletal_muscle_myoblast-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	Adipocyte-Claussnitzer_d6
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	muscle_of_trunk_fetal-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	adipose_tissue-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	muscle_of_leg_fetal-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	Panc1-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	PC-9-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	muscle_of_trunk_fetal-Roadmap
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	Adipocyte-Claussnitzer_d2
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	Adipocyte-Claussnitzer_d0
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	osteoblast-ENCODE
chr1	3326796	3326796	rs6670123	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	A673-ENCODE
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	H9-Roadmap
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	myotube_originated_from_skeletal_muscle_myoblast-Roadmap
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	myotube_originated_from_skeletal_muscle_myoblast-Roadmap
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	THP_pmaLPS_ATAC_0h
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	spinal_cord_fetal-ENCODE
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	spinal_cord_fetal-ENCODE
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	THP_pmaLPS_ATAC_0h
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	muscle_of_trunk_fetal-ENCODE
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	muscle_of_trunk_fetal-ENCODE
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	H9-Roadmap
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	hepatocyte-ENCODE
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	hepatocyte-ENCODE
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	myotube-ENCODE
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	myotube-ENCODE
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	muscle_of_trunk_fetal-Roadmap
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	THP_pmaLPS_ATAC_12h
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	muscle_of_trunk_fetal-Roadmap
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	skeletal_muscle_myoblast-Roadmap
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	eahy926
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	eahy926
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	skeletal_muscle_myoblast-Roadmap
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	osteoblast-ENCODE
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	THP_pmaLPS_ATAC_12h
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	osteoblast-ENCODE
chr1	3327032	3327032	rs2493296	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	BJAB_anti-IgM_anti-CD40_4hr-Engreitz
chr1	3328659	3328659	rs2493292	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	U937-Engreitz
chr1	3328659	3328659	rs2493292	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	U937-Engreitz
chr1	3329384	3329384	rs2493291	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013
chr1	3329384	3329384	rs2493291	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	THP_pmaLPS_ATAC_120h
chr1	3330260	3330260	rs72633335	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	pancreatic-ductal-cell-AMP
chr1	3330260	3330260	rs72633335	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	hepatocyte-ENCODE
chr1	3330677	3330677	rs2493290	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013
chr1	3330677	3330677	rs2493290	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	osteoblast-ENCODE
chr1	3330884	3330884	rs2493288	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013
chr1	3330884	3330884	rs2493288	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	BJAB-Engreitz
chr1	3330884	3330884	rs2493288	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	NCCIT
chr1	3330884	3330884	rs2493288	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	osteoblast-ENCODE
chr1	3330884	3330884	rs2493288	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	CD14-positive_monocyte_treated_with_LPS_d1-Novakovic2016
chr1	3330884	3330884	rs2493288	NA	CAD_Harst2017	CAD_Harst2017-rs2493298	SK-N-SH-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	uterus-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	HeLa-S3-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	Eahy926_Ctrl
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	OCI-LY7-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	LoVo
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	PC-9-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	CD3-positive_T_cell-Roadmap
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	TeloHAEC_IL1b
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	liver-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	bipolar_neuron_from_iPSC-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	hepatocyte-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	thymus_fetal-Roadmap
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	GM12878-Roadmap
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	T-cell-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	A673-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	body_of_pancreas-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	H9-Roadmap
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	MDA-MB-231
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	H9-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	HAP1
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	psoas_muscle-Roadmap
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	CD19-positive_B_cell-Roadmap
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	osteoblast-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	MM.1S-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	TeloHAEC_TNF
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	mammary_epithelial_cell-Roadmap
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	stomach_fetal-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	erythroblast-Corces2016
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	Karpas-422-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	mammary_epithelial_cell-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	Eahy926_TNF
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	iPS_DF_19.11-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	fibroblast_of_lung-Roadmap
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	CD56-positive_natural_killer_cells-Roadmap
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	TeloHAEC_Ctrl
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	trophoblast_cell-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	iPS_DF_19.11_Cell_Line-Roadmap
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	CD4-positive_helper_T_cell-Corces2016
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	small_intestine_fetal-Roadmap
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	TeloHAEC_VEGF
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	gastrocnemius_medialis-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	induced_pluripotent_stem_cell-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	keratinocyte-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	Eahy926_IL1b
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	CD8-positive_alpha-beta_T_cell-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	B_cell-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	thymus_fetal-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	small_intestine_fetal-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	CD14-positive_monocyte-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	CD4-positive_helper_T_cell-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	spinal_cord_fetal-ENCODE
chr1	38397341	38397341	rs34655914	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	placenta-Roadmap
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	TeloHAEC_Ctrl
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	endothelial_cell_of_umbilical_vein_VEGF_stim_12_hours-Zhang2013
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	body_of_pancreas-ENCODE
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	thymus_fetal-ENCODE
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	H7
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	H9-ENCODE
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	stomach_fetal-Roadmap
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	osteoblast-ENCODE
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	myotube_originated_from_skeletal_muscle_myoblast-Roadmap
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	TeloHAEC_IL1b
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	T-cell-ENCODE
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	GM12878-Roadmap
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	Eahy926_Ctrl
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	TeloHAEC_VEGF
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	thymus_fetal-Roadmap
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	gastrocnemius_medialis-ENCODE
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	THP_pmaLPS_ATAC_72h
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	fibroblast_of_dermis-Roadmap
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	Eahy926_TNF
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	TeloHAEC_TNF
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	erythroblast-Corces2016
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	Eahy926_IL1b
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	fibroblast_of_lung_fetal-ENCODE
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	OCI-LY7-ENCODE
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	fibroblast_of_lung-Roadmap
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	myotube-ENCODE
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	CD14-positive_monocyte-ENCODE
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	CD3-positive_T_cell-Roadmap
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	induced_pluripotent_stem_cell-ENCODE
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	astrocyte-Roadmap
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	PC-9-ENCODE
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	trophoblast_cell-ENCODE
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_2_hour-Garber2017
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	CD56-positive_natural_killer_cells-Roadmap
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	iPS_DF_19.11-ENCODE
chr1	38397369	38397369	rs35267671	NA	CAD_Harst2017	CAD_Harst2017-rs61776719	small_intestine_fetal-Roadmap
