CredibleSet	TargetGene	chr	start	end	variant	PosteriorProb	Disease	chr.1	start.1	end.1	name	class	activity_base	TargetGeneTSS	TargetGeneExpression	TargetGenePromoterActivityQuantile	TargetGeneIsExpressed	distance	isSelfPromoter	powerlaw_contact	powerlaw_contact_reference	hic_contact	hic_contact_pl_scaled	hic_pseudocount	hic_contact_pl_scaled_adj	ABC.Score.Numerator	ABC.Score	powerlaw.Score.Numerator	powerlaw.Score	CellType	MaxABC	GeneRank
CAD_Harst2017-rs10139550	CYP46A1	chr14	100148961	100148961	rs8003602	NA	CAD_Harst2017	chr14	100148960	100150854	promoter|chr14:100148810-100151004	promoter	14.149622	100150754	NA	0.633249	True	847	True	0.125372	0.123436	0.034194	0.033666	0.001216	0.034882	0.493566	0.204551	1.746573	0.36289	Eahy926_VEGF	0.275884	1
CAD_Harst2017-rs10139550	EML1	chr14	100145710	100145710	rs10139550	NA	CAD_Harst2017	chr14	100145420	100146837	intergenic|chr14:100145270-100146987	intergenic	14.487596	100259744	NA	0.679811	True	113615.5	False	0.003239	0.008154	0.008154	0.00324	0.001216	0.004455	0.064547	0.027665	0.118136	0.032763	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.027665	3
CAD_Harst2017-rs10139550	HHIPL1	chr14	100145710	100145710	rs10139550	NA	CAD_Harst2017	chr14	100145420	100146837	intergenic|chr14:100145270-100146987	intergenic	14.487596	100111446	NA	0.567663	True	34682.5	False	0.007404	0.023029	0.022894	0.007361	0.001216	0.008577	0.124257	0.057372	0.331674	0.068469	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.057372	2
CAD_Harst2017-rs10139550	SETD3	chr14	100145710	100145710	rs10139550	NA	CAD_Harst2017	chr14	100145420	100146837	intergenic|chr14:100145270-100146987	intergenic	14.487596	99947226	NA	0.687103	True	198902.5	False	0.001342	0.004995	0.00501	0.001346	0.001216	0.002562	0.037115	0.016037	0.072577	0.022093	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.016037	6
CAD_Harst2017-rs10237377	PARP12	chr7	139758476	139758476	rs6945359	NA	CAD_Harst2017	chr7	139758421	139758621	genic|chr7:139758271-139758771	genic	1.108605	139763521	NA	0.559109	True	5000	False	0.031954	0.125372	0.123436	0.031461	0.001216	0.032677	0.036226	0.016332	0.136842	0.038185	thymus_fetal-ENCODE	0.025215	1
CAD_Harst2017-rs10237377	PARP12	chr7	139758476	139758476	rs6945359	NA	CAD_Harst2017	chr7	139758436	139758636	genic|chr7:139758286-139758786	genic	0.911979	139763521	NA	0.429404	True	4985	False	0.031954	0.125372	0.123436	0.031461	0.001216	0.032677	0.0298	0.025215	0.112571	0.048239	large_intestine_fetal-ENCODE	0.025215	1
CAD_Harst2017-rs10267593	MAD1L1	chr7	1964357	1964357	rs1403175	NA	CAD_Harst2017	chr7	1963460	1964373	genic|chr7:1963310-1964523	genic	14.226764	2272583	NA	0.749145	True	308666.5	False	0.001469	0.003401	0.003418	0.001477	0.001216	0.002692	0.038305	0.015228	0.048626	0.012629	A673-ENCODE	0.015228	2
CAD_Harst2017-rs10267593	SNX8	chr7	1964357	1964357	rs1403175	NA	CAD_Harst2017	chr7	1963460	1964373	genic|chr7:1963310-1964523	genic	14.226764	2354110	NA	0.606078	True	390193.5	False	0.001336	0.00277	0.002787	0.001344	0.001216	0.00256	0.036423	0.01608	0.039656	0.012056	A673-ENCODE	0.01608	1
CAD_Harst2017-rs10417115	SLC7A9	chr19	33357677	33357677	rs11084675	NA	CAD_Harst2017	chr19	33357635	33357835	genic|chr19:33357485-33357985	genic	0.855755	33360683	NA	0.613736	True	2948	False	0.032231	0.125372	0.123436	0.031733	0.001216	0.032949	0.028196	0.015684	0.105631	0.041335	small_intestine_fetal-ENCODE	0.135028	1
CAD_Harst2017-rs10417115	SLC7A9	chr19	33361137	33361137	rs28521355	NA	CAD_Harst2017	chr19	33360384	33361155	promoter|chr19:33360234-33361305	promoter	5.860667	33360683	NA	0.656225	True	86.5	True	0.046249	0.125372	0.123436	0.045534	0.001216	0.04675	0.273987	0.135028	0.723418	0.212733	small_intestine_fetal-Roadmap	0.135028	1
CAD_Harst2017-rs10417115	SLC7A9	chr19	33361137	33361137	rs28521355	NA	CAD_Harst2017	chr19	33360534	33361681	promoter|chr19:33360384-33361831	promoter	3.926476	33360683	NA	0.501202	True	424.5	True	0.046249	0.125372	0.123436	0.045534	0.001216	0.04675	0.183563	0.104763	0.484669	0.195569	placenta-Roadmap	0.135028	1
CAD_Harst2017-rs10417115	SLC7A9	chr19	33362037	33362037	rs1990988	NA	CAD_Harst2017	chr19	33361940	33362140	intergenic|chr19:33361790-33362290	intergenic	0.954307	33360683	NA	0.525583	True	1357	False	0.046249	0.125372	0.123436	0.045534	0.001216	0.04675	0.044614	0.025744	0.117796	0.045879	HepG2-Roadmap	0.135028	1
CAD_Harst2017-rs10774625	ACAD10	chr12	112007756	112007756	rs653178	NA	CAD_Harst2017	chr12	112007119	112009198	genic|chr12:112006969-112009348	genic	9.70178	112123856	NA	0.802387	True	115697.5	False	0.003847	0.008025	0.008027	0.003847	0.001216	0.005063	0.049121	0.028942	0.077871	0.028976	Panc1-ENCODE	0.028942	3
CAD_Harst2017-rs10774625	ACAD10	chr12	112007756	112007756	rs653178	NA	CAD_Harst2017	chr12	112007587	112008484	genic|chr12:112007437-112008634	genic	9.84073	112123856	NA	0.754725	True	115820.5	False	0.008018	0.008019	0.003847	0.003847	0.001216	0.005063	0.049825	0.020171	0.078914	0.021617	Eahy926_Ctrl	0.028942	3
CAD_Harst2017-rs10774625	ALDH2	chr12	112007756	112007756	rs653178	NA	CAD_Harst2017	chr12	112007119	112009198	genic|chr12:112006969-112009348	genic	9.70178	112204690	NA	0.503829	True	196531.5	False	0.001366	0.005048	0.005062	0.00137	0.001216	0.002586	0.025088	0.017891	0.049112	0.025784	Panc1-ENCODE	0.017891	5
CAD_Harst2017-rs10774625	ATXN2	chr12	112007756	112007756	rs653178	NA	CAD_Harst2017	chr12	112007119	112009198	genic|chr12:112006969-112009348	genic	9.70178	112037480	NA	0.77933	True	29321.5	False	0.009116	0.026673	0.026495	0.009055	0.001216	0.010271	0.099646	0.0466	0.257044	0.060841	Panc1-ENCODE	0.0466	1
CAD_Harst2017-rs10774625	ATXN2	chr12	112007756	112007756	rs653178	NA	CAD_Harst2017	chr12	112007587	112008484	genic|chr12:112007437-112008634	genic	9.84073	112037480	NA	0.944354	True	29444.5	False	0.026576	0.026398	0.009116	0.009055	0.001216	0.010271	0.101075	0.031434	0.259778	0.042134	Eahy926_Ctrl	0.0466	1
CAD_Harst2017-rs10774625	ATXN2	chr12	112007756	112007756	rs653178	NA	CAD_Harst2017	chr12	112007242	112008080	genic|chr12:112007092-112008230	genic	5.16939	112037480	NA	0.919342	True	29819	False	0.009116	0.026283	0.02611	0.009056	0.001216	0.010272	0.053098	0.020542	0.134971	0.026438	PC-9-ENCODE	0.0466	1
CAD_Harst2017-rs10774625	ATXN2	chr12	112007756	112007756	rs653178	NA	CAD_Harst2017	chr12	112007702	112008116	genic|chr12:112007552-112008266	genic	4.016024	112037480	NA	0.887078	True	29571	False	0.026476	0.0263	0.009116	0.009055	0.001216	0.010271	0.04125	0.016121	0.105621	0.022454	TeloHAEC_IL1b	0.0466	1
CAD_Harst2017-rs10774625	ATXN2	chr12	112007756	112007756	rs653178	NA	CAD_Harst2017	chr12	112007692	112008489	genic|chr12:112007542-112008639	genic	5.478959	112037480	NA	0.852799	True	29389.5	False	0.026619	0.026441	0.009116	0.009055	0.001216	0.010271	0.056274	0.020292	0.14487	0.02805	TeloHAEC_VEGF	0.0466	1
CAD_Harst2017-rs10774625	BRAP	chr12	112007756	112007756	rs653178	NA	CAD_Harst2017	chr12	112007587	112008484	genic|chr12:112007437-112008634	genic	9.84073	112123800	NA	0.758718	True	115764.5	False	0.008021	0.008022	0.003847	0.003847	0.001216	0.005063	0.049825	0.020171	0.078947	0.021626	Eahy926_Ctrl	0.028942	3
CAD_Harst2017-rs10774625	BRAP	chr12	112007756	112007756	rs653178	NA	CAD_Harst2017	chr12	112007119	112009198	genic|chr12:112006969-112009348	genic	9.70178	112123800	NA	0.817093	True	115641.5	False	0.003847	0.008029	0.00803	0.003847	0.001216	0.005063	0.049121	0.028942	0.077904	0.028985	Panc1-ENCODE	0.028942	3
CAD_Harst2017-rs10774625	FAM109A	chr12	111884608	111884608	rs3184504	NA	CAD_Harst2017	chr12	111883725	111884905	genic|chr12:111883575-111885055	genic	10.427933	111806925	NA	0.654554	True	77390	False	0.00422	0.01141	0.011388	0.004212	0.001216	0.005428	0.0566	0.022865	0.118757	0.025862	body_of_pancreas-ENCODE	0.022865	4
CAD_Harst2017-rs10774625	FAM109A	chr12	111884608	111884608	rs3184504	NA	CAD_Harst2017	chr12	111883725	111884905	genic|chr12:111883575-111885055	genic	10.427933	111806925	NA	0.654554	True	77390	False	0.00422	0.01141	0.011388	0.004212	0.001216	0.005428	0.0566	0.022865	0.118757	0.025862	body_of_pancreas-ENCODE	0.022865	4
CAD_Harst2017-rs10774625	FAM109A	chr12	112007756	112007756	rs653178	NA	CAD_Harst2017	chr12	112007119	112009198	genic|chr12:112006969-112009348	genic	9.70178	111806925	NA	0.608644	True	201233.5	False	0.001693	0.004945	0.004959	0.001698	0.001216	0.002914	0.028274	0.018195	0.048112	0.020021	Panc1-ENCODE	0.022865	4
CAD_Harst2017-rs10774625	SH2B3	chr12	111884608	111884608	rs3184504	NA	CAD_Harst2017	chr12	111883725	111884905	genic|chr12:111883575-111885055	genic	10.427933	111843751	NA	0.833062	True	40564	False	0.011312	0.020079	0.019977	0.011255	0.001216	0.012471	0.130044	0.041708	0.208319	0.034153	body_of_pancreas-ENCODE	0.041708	2
CAD_Harst2017-rs10774625	SH2B3	chr12	111884608	111884608	rs3184504	NA	CAD_Harst2017	chr12	111883725	111884905	genic|chr12:111883575-111885055	genic	10.427933	111843751	NA	0.833062	True	40564	False	0.011312	0.020079	0.019977	0.011255	0.001216	0.012471	0.130044	0.041708	0.208319	0.034153	body_of_pancreas-ENCODE	0.041708	2
CAD_Harst2017-rs10840293	SBF2	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766752	9767958	genic|chr11:9766602-9768108	genic	15.295819	10315754	NA	0.578377	True	548399	False	0.001404	0.002057	0.002073	0.001415	0.001216	0.002631	0.040241	0.016025	0.031709	0.006789	OCI-LY7-ENCODE	0.016025	3
CAD_Harst2017-rs10840293	SBF2	chr11	9767559	9767559	rs491205	NA	CAD_Harst2017	chr11	9766752	9767958	genic|chr11:9766602-9768108	genic	15.295819	10315754	NA	0.578377	True	548399	False	0.001404	0.002057	0.002073	0.001415	0.001216	0.002631	0.040241	0.016025	0.031709	0.006789	OCI-LY7-ENCODE	0.016025	3
CAD_Harst2017-rs10840293	SBF2	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766752	9767958	genic|chr11:9766602-9768108	genic	15.295819	10315754	NA	0.578377	True	548399	False	0.001404	0.002057	0.002073	0.001415	0.001216	0.002631	0.040241	0.016025	0.031709	0.006789	OCI-LY7-ENCODE	0.016025	3
CAD_Harst2017-rs10840293	SWAP70	chr11	9759918	9759918	rs173396	NA	CAD_Harst2017	chr11	9759721	9759921	genic|chr11:9759571-9760071	genic	6.239673	9685623	NA	0.74503	True	74198	False	0.00622	0.011838	0.011813	0.006207	0.001216	0.007423	0.046319	0.019768	0.073712	0.018297	CD14-positive_monocyte_treated_with_RPMI_d6-Novakovic2016	0.025334	1
CAD_Harst2017-rs10840293	SWAP70	chr11	9762274	9762274	rs360153	NA	CAD_Harst2017	chr11	9761774	9762359	genic|chr11:9761624-9762509	genic	13.1928	9685623	NA	0.851801	True	76443.5	False	0.004834	0.011533	0.011511	0.004825	0.001216	0.006041	0.079693	0.020756	0.151861	0.022585	trophoblast_cell-ENCODE	0.025334	1
CAD_Harst2017-rs10840293	SWAP70	chr11	9762274	9762274	rs360153	NA	CAD_Harst2017	chr11	9761775	9762438	genic|chr11:9761625-9762588	genic	13.398722	9685623	NA	0.863899	True	76483.5	False	0.004834	0.011528	0.011506	0.004825	0.001216	0.006041	0.080937	0.019681	0.154162	0.020832	placenta-Roadmap	0.025334	1
CAD_Harst2017-rs10840293	SWAP70	chr11	9762274	9762274	rs360153	NA	CAD_Harst2017	chr11	9762034	9762475	genic|chr11:9761884-9762625	genic	8.673688	9685623	NA	0.899951	True	76631.5	False	0.004834	0.011508	0.011486	0.004825	0.001216	0.006041	0.052395	0.016385	0.099629	0.018818	thyroid_gland-ENCODE	0.025334	1
CAD_Harst2017-rs10840293	SWAP70	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766799	9767757	genic|chr11:9766649-9767907	genic	14.896837	9685623	NA	0.808335	True	81655	False	0.005894	0.010886	0.010869	0.005884	0.001216	0.0071	0.105767	0.021908	0.161915	0.016324	CD19-positive_B_cell-Roadmap	0.025334	1
CAD_Harst2017-rs10840293	SWAP70	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766752	9767958	genic|chr11:9766602-9768108	genic	15.295819	9685623	NA	0.799902	True	81732	False	0.005894	0.010877	0.01086	0.005884	0.001216	0.0071	0.108601	0.025334	0.166115	0.018594	OCI-LY7-ENCODE	0.025334	1
CAD_Harst2017-rs10840293	SWAP70	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766835	9767555	genic|chr11:9766685-9767705	genic	12.567473	9685623	NA	0.835424	True	81572	False	0.005894	0.010896	0.010879	0.005884	0.001216	0.0071	0.089229	0.020159	0.136717	0.015379	B_cell-ENCODE	0.025334	1
CAD_Harst2017-rs10840293	SWAP70	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766773	9767414	genic|chr11:9766623-9767564	genic	10.815466	9685623	NA	0.926756	True	81470.5	False	0.005894	0.010908	0.01089	0.005884	0.001216	0.0071	0.076789	0.017693	0.117785	0.012747	Karpas-422-ENCODE	0.025334	1
CAD_Harst2017-rs10840293	SWAP70	chr11	9767559	9767559	rs491205	NA	CAD_Harst2017	chr11	9766752	9767958	genic|chr11:9766602-9768108	genic	15.295819	9685623	NA	0.799902	True	81732	False	0.005894	0.010877	0.01086	0.005884	0.001216	0.0071	0.108601	0.025334	0.166115	0.018594	OCI-LY7-ENCODE	0.025334	1
CAD_Harst2017-rs10840293	SWAP70	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766799	9767757	genic|chr11:9766649-9767907	genic	14.896837	9685623	NA	0.808335	True	81655	False	0.005894	0.010886	0.010869	0.005884	0.001216	0.0071	0.105767	0.021908	0.161915	0.016324	CD19-positive_B_cell-Roadmap	0.025334	1
CAD_Harst2017-rs10840293	SWAP70	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766835	9767555	genic|chr11:9766685-9767705	genic	12.567473	9685623	NA	0.835424	True	81572	False	0.005894	0.010896	0.010879	0.005884	0.001216	0.0071	0.089229	0.020159	0.136717	0.015379	B_cell-ENCODE	0.025334	1
CAD_Harst2017-rs10840293	SWAP70	chr11	9767559	9767559	rs491205	NA	CAD_Harst2017	chr11	9766799	9767757	genic|chr11:9766649-9767907	genic	14.896837	9685623	NA	0.808335	True	81655	False	0.005894	0.010886	0.010869	0.005884	0.001216	0.0071	0.105767	0.021908	0.161915	0.016324	CD19-positive_B_cell-Roadmap	0.025334	1
CAD_Harst2017-rs10840293	SWAP70	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766752	9767958	genic|chr11:9766602-9768108	genic	15.295819	9685623	NA	0.799902	True	81732	False	0.005894	0.010877	0.01086	0.005884	0.001216	0.0071	0.108601	0.025334	0.166115	0.018594	OCI-LY7-ENCODE	0.025334	1
CAD_Harst2017-rs10840293	SWAP70	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766773	9767414	genic|chr11:9766623-9767564	genic	10.815466	9685623	NA	0.926756	True	81470.5	False	0.005894	0.010908	0.01089	0.005884	0.001216	0.0071	0.076789	0.017693	0.117785	0.012747	Karpas-422-ENCODE	0.025334	1
CAD_Harst2017-rs10840293	WEE1	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766752	9767958	genic|chr11:9766602-9768108	genic	15.295819	9595227	NA	0.933803	True	172128	False	0.003813	0.005669	0.005681	0.003821	0.001216	0.005037	0.077045	0.016355	0.086896	0.008167	OCI-LY7-ENCODE	0.019123	2
CAD_Harst2017-rs10840293	WEE1	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766752	9767958	genic|chr11:9766602-9768108	genic	15.295819	9595227	NA	0.933803	True	172128	False	0.003813	0.005669	0.005681	0.003821	0.001216	0.005037	0.077045	0.016355	0.086896	0.008167	OCI-LY7-ENCODE	0.019123	2
CAD_Harst2017-rs10840293	WEE1	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766835	9767555	genic|chr11:9766685-9767705	genic	12.567473	9595227	NA	0.802998	True	171968	False	0.003813	0.005674	0.005686	0.003821	0.001216	0.005037	0.063302	0.017064	0.071454	0.009955	B_cell-ENCODE	0.019123	2
CAD_Harst2017-rs10840293	WEE1	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766799	9767757	genic|chr11:9766649-9767907	genic	14.896837	9595227	NA	0.774971	True	172051	False	0.003813	0.005671	0.005683	0.003821	0.001216	0.005037	0.075036	0.019123	0.084663	0.010518	CD19-positive_B_cell-Roadmap	0.019123	2
CAD_Harst2017-rs10840293	WEE1	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766799	9767757	genic|chr11:9766649-9767907	genic	14.896837	9595227	NA	0.774971	True	172051	False	0.003813	0.005671	0.005683	0.003821	0.001216	0.005037	0.075036	0.019123	0.084663	0.010518	CD19-positive_B_cell-Roadmap	0.019123	2
CAD_Harst2017-rs10840293	WEE1	chr11	9767559	9767559	rs491205	NA	CAD_Harst2017	chr11	9766752	9767958	genic|chr11:9766602-9768108	genic	15.295819	9595227	NA	0.933803	True	172128	False	0.003813	0.005669	0.005681	0.003821	0.001216	0.005037	0.077045	0.016355	0.086896	0.008167	OCI-LY7-ENCODE	0.019123	2
CAD_Harst2017-rs10840293	WEE1	chr11	9767559	9767559	rs491205	NA	CAD_Harst2017	chr11	9766799	9767757	genic|chr11:9766649-9767907	genic	14.896837	9595227	NA	0.774971	True	172051	False	0.003813	0.005671	0.005683	0.003821	0.001216	0.005037	0.075036	0.019123	0.084663	0.010518	CD19-positive_B_cell-Roadmap	0.019123	2
CAD_Harst2017-rs10840293	WEE1	chr11	9766932	9766932	rs378825	NA	CAD_Harst2017	chr11	9766835	9767555	genic|chr11:9766685-9767705	genic	12.567473	9595227	NA	0.802998	True	171968	False	0.003813	0.005674	0.005686	0.003821	0.001216	0.005037	0.063302	0.017064	0.071454	0.009955	B_cell-ENCODE	0.019123	2
CAD_Harst2017-rs10857147	C4orf22	chr4	81174592	81174592	rs13125101	NA	CAD_Harst2017	chr4	81174326	81174975	intergenic|chr4:81174176-81175125	intergenic	9.535516	81256873	NA	0.728776	True	82222.5	False	0.002632	0.010821	0.010804	0.002628	0.001216	0.003844	0.036651	0.022307	0.103019	0.036056	K562-Roadmap	0.022307	2
CAD_Harst2017-rs10857147	C4orf22	chr4	81174592	81174592	rs13125101	NA	CAD_Harst2017	chr4	81174326	81174975	intergenic|chr4:81174176-81175125	intergenic	9.535516	81256873	NA	0.728776	True	82222.5	False	0.002632	0.010821	0.010804	0.002628	0.001216	0.003844	0.036651	0.022307	0.103019	0.036056	K562-Roadmap	0.022307	2
CAD_Harst2017-rs10857147	FGF5	chr4	81174592	81174592	rs13125101	NA	CAD_Harst2017	chr4	81174326	81174975	intergenic|chr4:81174176-81175125	intergenic	9.535516	81187741	NA	0.644716	True	13090.5	False	0.0099	0.054014	0.053437	0.009794	0.001216	0.01101	0.104988	0.055648	0.509548	0.132758	K562-Roadmap	0.055648	1
CAD_Harst2017-rs10857147	FGF5	chr4	81174592	81174592	rs13125101	NA	CAD_Harst2017	chr4	81174326	81174975	intergenic|chr4:81174176-81175125	intergenic	9.535516	81187741	NA	0.644716	True	13090.5	False	0.0099	0.054014	0.053437	0.009794	0.001216	0.01101	0.104988	0.055648	0.509548	0.132758	K562-Roadmap	0.055648	1
CAD_Harst2017-rs11057401	ATP6V0A2	chr12	124432706	124432706	rs7955815	NA	CAD_Harst2017	chr12	124432700	124434685	genic|chr12:124432550-124434835	genic	20.929788	124196864	NA	0.654391	True	236828.5	False	0.001577	0.004288	0.004304	0.001583	0.001216	0.002799	0.058585	0.020646	0.09008	0.024417	bipolar_neuron_from_iPSC-ENCODE	0.020646	6
CAD_Harst2017-rs11057401	ATP6V0A2	chr12	124427306	124427306	rs11057401	NA	CAD_Harst2017	chr12	124426719	124427907	genic|chr12:124426569-124428057	genic	21.677507	124196864	NA	0.746537	True	230449	False	0.00148	0.004392	0.004407	0.001485	0.001216	0.002701	0.058557	0.019351	0.095541	0.02277	osteoblast-ENCODE	0.020646	6
CAD_Harst2017-rs11057401	ATP6V0A2	chr12	124427524	124427524	rs35825716	NA	CAD_Harst2017	chr12	124426719	124427907	genic|chr12:124426569-124428057	genic	21.677507	124196864	NA	0.746537	True	230449	False	0.00148	0.004392	0.004407	0.001485	0.001216	0.002701	0.058557	0.019351	0.095541	0.02277	osteoblast-ENCODE	0.020646	6
CAD_Harst2017-rs11057401	ATP6V0A2	chr12	124475940	124475940	rs7311233	NA	CAD_Harst2017	chr12	124475162	124476316	genic|chr12:124475012-124476466	genic	16.401376	124196864	NA	0.6106	True	278875	False	0.0018	0.003717	0.003733	0.001808	0.001216	0.003024	0.049599	0.019582	0.061234	0.018555	large_intestine_fetal-Roadmap	0.020646	6
CAD_Harst2017-rs11057401	ATP6V0A2	chr12	124475940	124475940	rs7311233	NA	CAD_Harst2017	chr12	124475147	124476366	genic|chr12:124474997-124476516	genic	15.78999	124196864	NA	0.58628	True	278892.5	False	0.0018	0.003716	0.003733	0.001808	0.001216	0.003024	0.047751	0.015704	0.058948	0.014077	small_intestine_fetal-Roadmap	0.020646	6
CAD_Harst2017-rs11057401	ATP6V0A2	chr12	124426736	124426736	rs7131882	NA	CAD_Harst2017	chr12	124426719	124427907	genic|chr12:124426569-124428057	genic	21.677507	124196864	NA	0.746537	True	230449	False	0.00148	0.004392	0.004407	0.001485	0.001216	0.002701	0.058557	0.019351	0.095541	0.02277	osteoblast-ENCODE	0.020646	6
CAD_Harst2017-rs11057401	ATP6V0A2	chr12	124433905	124433905	rs2178663	NA	CAD_Harst2017	chr12	124432700	124434685	genic|chr12:124432550-124434835	genic	20.929788	124196864	NA	0.654391	True	236828.5	False	0.001577	0.004288	0.004304	0.001583	0.001216	0.002799	0.058585	0.020646	0.09008	0.024417	bipolar_neuron_from_iPSC-ENCODE	0.020646	6
CAD_Harst2017-rs11057401	CCDC92	chr12	124458002	124458002	rs12823740	NA	CAD_Harst2017	chr12	124457288	124458274	promoter|chr12:124457138-124458424	promoter	14.825314	124457532	NA	0.788496	True	249	True	0.032182	0.125372	0.123436	0.031685	0.001216	0.032901	0.487763	0.112442	1.829978	0.290463	adrenal_gland-ENCODE	0.3084	3
