CredibleSet	Adipose	CellModels	CM	EC	Fibroblasts	HeartOrArteryTissue	Hepatocytes	K562	Mac	SMC	chr	start	end	nSNP	AnyCoding	AnyPromoter	AnySpliceSite	Trait	Source	LocusID	BestSNPPos	BestSNP	BestSNPNearestGene	CodingVariantGene	SpliceSiteVariantGene	PromoterVariantGene
CAD_Aragam2021-rs11663411	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr18	56945838	56971946	30	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs11663411	56945838	rs17769086	RAX	NA	NA	NA
CAD_Aragam2021-rs116843064	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	chr19	8429323	8429323	1	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs116843064	8429323	rs116843064	ANGPTL4	ANGPTL4	NA	NA
CAD_Aragam2021-rs11752218	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	chr6	57125873	57160157	27	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs11752218	57125873	rs79471637	LOC100506188	NA	NA	NA
CAD_Aragam2021-rs1177562	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	chr11	118917814	118954265	32	TRUE	TRUE	FALSE	CAD_Aragam2021	Aragam2021	rs1177562	118917814	rs501351	HYOU1	VPS11	NA	VPS11
CAD_Aragam2021-rs11810571	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	chr1	151762308	151764049	3	FALSE	TRUE	FALSE	CAD_Aragam2021	Aragam2021	rs11810571	151762308	rs11810571	TDRKH	NA	NA	TDRKH
CAD_Aragam2021-rs12112877	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	chr7	106941324	107202502	75	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs12112877	106941324	rs12112877	COG5	NA	NA	NA
CAD_Aragam2021-rs12260962	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	chr10	82250572	82262826	4	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs12260962	82262826	rs12260962	TSPAN14	NA	NA	NA
CAD_Aragam2021-rs1230666	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr1	114173410	114173410	1	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs1230666	114173410	rs1230666	MAGI3	NA	NA	NA
CAD_Aragam2021-rs12445401	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr16	72075593	72148419	6	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs12445401	72075593	rs12924886	HP	NA	NA	NA
CAD_Aragam2021-rs12446515	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	chr16	56987015	56994528	12	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs12446515	56987015	rs12446515	CETP	NA	NA	NA
CAD_Aragam2021-rs12484557	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	chr22	24435954	24600870	44	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs12484557	24435954	rs5760186	CABIN1	CABIN1;SUSD2	NA	NA
CAD_Aragam2021-rs12500824	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr4	77416627	77420407	11	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs12500824	77416627	rs12500824	SHROOM3	NA	NA	NA
CAD_Aragam2021-rs1250247	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	chr2	216287093	216300482	12	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs1250247	216287093	rs1250248	FN1	FN1	NA	NA
CAD_Aragam2021-rs12691049	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	chr16	15901778	15916861	7	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs12691049	15905336	rs7206892	MYH11	NA	NA	NA
CAD_Aragam2021-rs12740374	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	chr1	109817192	109822166	9	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs12740374	109817192	rs7528419	CELSR2	NA	NA	NA
CAD_Aragam2021-rs12916	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr5	74625487	74656539	12	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs12916	74625487	rs7703051	HMGCR	NA	NA	NA
CAD_Aragam2021-rs12936927	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	chr17	17724789	17755259	37	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs12936927	17724789	rs11656665	SREBF1	NA	NA	NA
CAD_Aragam2021-rs12952244	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr17	40258127	40270081	5	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs12952244	40258127	rs35370188	DHX58	NA	NA	NA
CAD_Aragam2021-rs12965923	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	chr18	47195880	47213682	2	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs12965923	47195880	rs10502900	LIPG	NA	NA	NA
CAD_Aragam2021-rs13120678	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	chr4	148236732	148287512	8	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs13120678	148236732	rs10519886	EDNRA	NA	NA	NA
CAD_Aragam2021-rs13124853	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	chr4	146764120	146809998	12	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs13124853	146784774	rs13124853	ZNF827	NA	NA	NA
CAD_Aragam2021-rs13222797	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr7	117092658	117236266	50	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs13222797	117092658	rs4458806	ASZ1	CFTR	NA	NA
CAD_Aragam2021-rs139012	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	chr22	43621533	43626035	7	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs139012	43621533	rs139007	SCUBE1	SCUBE1	NA	NA
CAD_Aragam2021-rs148812085	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	chr2	203639395	204121145	267	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs148812085	203639395	rs72932707	ICA1L	WDR12;CARF;NBEAL1	NA	NA
CAD_Aragam2021-rs1510758	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	chr8	25045912	25065956	25	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs1510758	25045912	rs6997760	DOCK5	NA	NA	NA
CAD_Aragam2021-rs17080093	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr6	150997269	150999751	11	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs17080093	150997269	rs17080089	PLEKHG1	NA	NA	NA
CAD_Aragam2021-rs17083333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr4	54572066	54572066	1	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs17083333	54572066	rs17083333	LOC100506444	NA	NA	NA
CAD_Aragam2021-rs17086617	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	chr13	28962686	28993835	18	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs17086617	28962686	rs17086617	FLT1	NA	NA	NA
CAD_Aragam2021-rs17163363	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	chr1	222793632	222862992	31	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs17163363	222793632	rs2378584	MIA3	MIA3	NA	NA
CAD_Aragam2021-rs17263917	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	chr5	9546098	9557602	8	FALSE	TRUE	FALSE	CAD_Aragam2021	Aragam2021	rs17263917	9546098	rs112941079	SEMA5A	NA	NA	SNHG18;SEMA5A
CAD_Aragam2021-rs17566555	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	chr10	12252217	12285735	9	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs17566555	12252217	rs2271804	CDC123	NA	NA	NA
CAD_Aragam2021-rs17581137	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr15	96146414	96179390	6	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs17581137	96146414	rs17581137	LINC00924	NA	NA	NA
CAD_Aragam2021-rs17608766	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	chr17	45013271	45055107	5	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs17608766	45013271	rs17608766	GOSR2	NA	NA	NA
CAD_Aragam2021-rs17680741	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	chr10	82250572	82262826	4	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs17680741	82250572	rs55943223	TSPAN14	NA	NA	NA
CAD_Aragam2021-rs17843797	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	chr3	124446077	124481760	12	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs17843797	124446077	rs17282057	UMPS	NA	NA	NA
CAD_Aragam2021-rs1800469	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	chr19	41856886	41873001	11	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs1800469	41856886	rs2241715	TGFB1	B9D2	NA	NA
CAD_Aragam2021-rs1807214	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	chr15	89562814	89580299	46	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs1807214	89562814	rs28687065	ABHD2	NA	NA	NA
CAD_Aragam2021-rs183657985	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	chr19	45741333	45766729	16	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs183657985	45741333	rs11669910	EXOC3L2	NA	NA	NA
CAD_Aragam2021-rs185244	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	chr3	138052754	138124114	20	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs185244	138052754	rs6807945	NME9	NA	NA	NA
CAD_Aragam2021-rs186696265	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr6	161111700	161111700	1	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs186696265	161111700	rs186696265	PLG	NA	NA	NA
CAD_Aragam2021-rs1870634	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr10	44480694	44496971	7	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs1870634	44480694	rs1870635	LINC00841	NA	NA	NA
CAD_Aragam2021-rs1892971	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	chr11	102795606	102795606	1	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs1892971	102795606	rs1892971	MMP13	NA	NA	NA
CAD_Aragam2021-rs192425087	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr6	161032243	161032250	2	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs192425087	161032243	rs183836119	LPA	NA	NA	NA
CAD_Aragam2021-rs1967604	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	chr9	110517130	110530324	5	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs1967604	110517130	rs1970014	KLF4	NA	NA	NA
CAD_Aragam2021-rs1998043	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	chr6	161097218	161122274	28	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs1998043	161097218	rs56090213	LPA	NA	NA	NA
CAD_Aragam2021-rs2001846	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	chr8	126476873	126482077	7	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs2001846	126476873	rs2954017	TRIB1	NA	NA	NA
CAD_Aragam2021-rs2008614	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr20	47410231	47456856	15	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs2008614	47410231	rs6090907	PREX1	NA	NA	NA
CAD_Aragam2021-rs2067831	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	chr10	105643223	105693644	8	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs2067831	105643223	rs2067831	STN1	NA	NA	NA
CAD_Aragam2021-rs2096766	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	chr11	102791236	102795606	2	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs2096766	102791236	rs2096766	MMP13	NA	NA	NA
CAD_Aragam2021-rs2107595	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	chr7	19049388	19052733	2	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs2107595	19049388	rs2107595	TWIST1	NA	NA	NA
CAD_Aragam2021-rs2161967	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr2	218680529	218680529	1	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs2161967	218680529	rs2161967	TNS1	NA	NA	NA
CAD_Aragam2021-rs2207132	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	chr20	39142516	39179822	3	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs2207132	39142516	rs2207132	MAFB	NA	NA	NA
CAD_Aragam2021-rs2215614	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	chr7	35270988	35301542	100	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs2215614	35270988	rs2109090	TBX20	NA	NA	NA
CAD_Aragam2021-rs2244608	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr12	121416650	121419926	4	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs2244608	121416650	rs1169288	HNF1A	HNF1A	NA	NA
CAD_Aragam2021-rs2306363	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	chr11	65405600	65405600	1	FALSE	TRUE	FALSE	CAD_Aragam2021	Aragam2021	rs2306363	65405600	rs2306363	SIPA1	NA	NA	SIPA1
CAD_Aragam2021-rs2327426	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	chr6	134171132	134209837	18	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs2327426	134171132	rs1535616	TARID,LINC01312	NA	NA	NA
CAD_Aragam2021-rs2410859	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	chr17	73841285	73841702	2	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs2410859	73841285	rs2410859	UNC13D	NA	NA	NA
CAD_Aragam2021-rs243071	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	chr2	60616335	60625680	10	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs243071	60616335	rs7593210	MIR4432HG	NA	NA	NA
CAD_Aragam2021-rs2492304	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	chr6	134364257	134378151	9	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs2492304	134364257	rs2811682	SLC2A12	NA	NA	NA
CAD_Aragam2021-rs2493298	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	chr1	3325330	3330884	12	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs2493298	3325330	rs2493301	PRDM16	PRDM16	NA	NA
CAD_Aragam2021-rs249760	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr5	141913503	141918585	19	FALSE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs249760	141913503	rs249756	FGF1	NA	NA	NA
CAD_Aragam2021-rs2571445	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	chr2	218673765	218683154	4	TRUE	FALSE	FALSE	CAD_Aragam2021	Aragam2021	rs2571445	218683154	rs2571445	TNS1	TNS1	NA	NA
