chr	region_start	region_end	Trait	Source	CredibleSet	LeadVariant	LeadVariantPos	gene	pro_start	pro_end	TSS_position	SNP_to_TSS_distance	abs_SNP_to_TSS	rank_SNP_to_TSS	IsThisGeneUbiquitouslyExpressed	LipidLevelsAssociated	BloodPressureAssociated	IntersectsWithECPeak	OnlyIntersectsWithECPeak	CellTypeOftheClosestECPeak	EC_PeakCenter	DistanceToNearestECPeakWithVariant	absDistanceToNearestECPeakWithVariant	RankOfDistanceToECPeakWithVariant	MaxABC	MaxABC.Rank	CellTypesWithEPInteractions	MaxABC.EC.only	MaxABC.Rank.ECOnly	ECCellTypesWithEPInteractions
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	PEX10	2343760	2344260	2344010	98440	98440	4	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	0.019661	5	adipose_tissue-ENCODE|endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013	0.019661	5	endothelial_cell_of_umbilical_vein_VEGF_stim_4_hours-Zhang2013
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	PLCH2	2407503	2408003	2407753	162183	162183	6	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	PANK4	2457817	2458317	2458067	212497	212497	7	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	HES5	2461434	2461934	2461684	216114	216114	8	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	TNFRSF14	2487553	2488053	2487803	242233	242233	9	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	FAM213B	2517938	2518438	2518188	272618	272618	11	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	MMEL1	2564231	2564731	2564481	318911	318911	14	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	245570	4245570	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2843152	rs2843152	2245570	TTC34	2705980	2706480	2706230	460660	460660	18	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	985885	4985885	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs7413494	rs7413494	2985885	TNFRSF14	2487553	2488053	2487803	-498082	498082	7	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	985885	4985885	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs7413494	rs7413494	2985885	FAM213B	2517938	2518438	2518188	-467697	467697	6	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	985885	4985885	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs7413494	rs7413494	2985885	MMEL1	2564231	2564731	2564481	-421404	421404	5	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	985885	4985885	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs7413494	rs7413494	2985885	TTC34	2705980	2706480	2706230	-279655	279655	3	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	985885	4985885	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs7413494	rs7413494	2985885	ACTRT2	2937795	2938295	2938045	-47840	47840	2	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	985885	4985885	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs7413494	rs7413494	2985885	PRDM16	2985491	2985991	2985741	-144	144	1	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	0.17796	1	coronary_artery-ENCODE|H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap|ovary-Roadmap|Panc1-ENCODE|pancreas-Roadmap|pancreatic-alpha-cell-AMP|pancreatic-ductal-cell-AMP|stomach_fetal-ENCODE|stomach_fetal-Roadmap	NA	NA	NA
chr1	985885	4985885	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs7413494	rs7413494	2985885	ARHGEF16	3370896	3371396	3371146	385261	385261	4	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	985885	4985885	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs7413494	rs7413494	2985885	MEGF6	3527809	3528309	3528059	542174	542174	8	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1325912	5325912	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2493298	rs2493298	3325912	ACTRT2	2937795	2938295	2938045	-387867	387867	10	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1325912	5325912	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2493298	rs2493298	3325912	PRDM16	2985491	2985991	2985741	-340171	340171	6	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1325912	5325912	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2493298	rs2493298	3325912	ARHGEF16	3370896	3371396	3371146	45234	45234	1	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1325912	5325912	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2493298	rs2493298	3325912	MEGF6	3527809	3528309	3528059	202147	202147	2	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1325912	5325912	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2493298	rs2493298	3325912	TPRG1L	3541305	3541805	3541555	215643	215643	3	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1325912	5325912	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2493298	rs2493298	3325912	WRAP73	3566421	3566921	3566671	240759	240759	4	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1325912	5325912	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2493298	rs2493298	3325912	TP73	3568878	3569378	3569128	243216	243216	5	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1325912	5325912	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2493298	rs2493298	3325912	CCDC27	3668714	3669214	3668964	343052	343052	7	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1325912	5325912	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2493298	rs2493298	3325912	SMIM1	3689100	3689600	3689350	363438	363438	8	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1325912	5325912	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2493298	rs2493298	3325912	LRRC47	3712818	3713318	3713068	387156	387156	9	TRUE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1325912	5325912	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2493298	rs2493298	3325912	CEP104	3773547	3774047	3773797	447885	447885	11	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1325912	5325912	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2493298	rs2493298	3325912	DFFB	3773580	3774080	3773830	447918	447918	12	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1325912	5325912	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs2493298	rs2493298	3325912	C1orf174	3816607	3817107	3816857	490945	490945	13	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	HMGN2	26798651	26799151	26798901	-486012	486012	22	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	RPS6KA1	26855998	26856498	26856248	-428665	428665	20	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	ARID1A	27022271	27022771	27022521	-262392	262392	12	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	PIGV	27114203	27114703	27114453	-170460	170460	10	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	ZDHHC18	27152950	27153450	27153200	-131713	131713	9	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.022976	2	mammary_epithelial_cell-ENCODE|mammary_epithelial_cell-Roadmap	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	SFN	27189382	27189882	27189632	-95281	95281	8	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.025767	1	mammary_epithelial_cell-ENCODE|mammary_epithelial_cell-Roadmap	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	GPN2	27216619	27217119	27216869	-68044	68044	7	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	GPATCH3	27226712	27227212	27226962	-57951	57951	6	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	NR0B2	27240317	27240817	27240567	-44346	44346	4	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	NUDC	27247962	27248462	27248212	-36701	36701	3	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	KDF1	27286651	27287151	27286901	1988	1988	1	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	TRNP1	27319944	27320444	27320194	35281	35281	2	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	FAM46B	27339083	27339583	27339333	54420	54420	5	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	SLC9A1	27481371	27481871	27481621	196708	196708	11	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	WDTC1	27560756	27561256	27561006	276093	276093	13	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	TMEM222	27648385	27648885	27648635	363722	363722	14	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	ACTG1P20	27650114	27650614	27650364	365451	365451	15	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	SYTL1	27668232	27668732	27668482	383569	383569	16	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	MAP3K6	27693107	27693607	27693357	408444	408444	17	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	FCN3	27701093	27701593	27701343	416430	416430	18	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	CD164L2	27709573	27710073	27709823	424910	424910	19	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	25284913	29284913	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs79598313	rs79598313	27284913	GPR3	27718897	27719397	27719147	434234	434234	21	FALSE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	36461319	40461319	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs61776719	rs61776719	38461319	MEAF6	37980170	37980670	37980420	-480899	480899	17	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.02418	13	A673-ENCODE|adipose_tissue-ENCODE|erythroblast-Corces2016|H1-hESC-ENCODE|H1-hESC-Roadmap|induced_pluripotent_stem_cell-ENCODE|LoVo|muscle_of_leg_fetal-ENCODE|muscle_of_leg_fetal-Roadmap|muscle_of_trunk_fetal-ENCODE|muscle_of_trunk_fetal-Roadmap|ovary-Roadmap|stomach_fetal-ENCODE|stomach_fetal-Roadmap|trophoblast_cell-ENCODE|uterus-ENCODE	NA	NA	NA
chr1	36461319	40461319	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs61776719	rs61776719	38461319	SNIP1	38019695	38020195	38019945	-441374	441374	16	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.021404	15	A673-ENCODE|adipose_tissue-ENCODE|erythroblast-Corces2016|H1-hESC-ENCODE|H1-hESC-Roadmap|induced_pluripotent_stem_cell-ENCODE|LoVo|muscle_of_leg_fetal-ENCODE|muscle_of_leg_fetal-Roadmap|muscle_of_trunk_fetal-ENCODE|muscle_of_trunk_fetal-Roadmap|ovary-Roadmap|stomach_fetal-ENCODE|stomach_fetal-Roadmap|uterus-ENCODE	NA	NA	NA
chr1	36461319	40461319	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs61776719	rs61776719	38461319	DNALI1	38022269	38022769	38022519	-438800	438800	15	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.022924	14	A673-ENCODE|adipose_tissue-ENCODE|erythroblast-Corces2016|H1-hESC-ENCODE|H1-hESC-Roadmap|induced_pluripotent_stem_cell-ENCODE|LoVo|muscle_of_leg_fetal-ENCODE|muscle_of_leg_fetal-Roadmap|muscle_of_trunk_fetal-ENCODE|muscle_of_trunk_fetal-Roadmap|ovary-Roadmap|stomach_fetal-ENCODE|stomach_fetal-Roadmap|uterus-ENCODE	NA	NA	NA
chr1	36461319	40461319	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs61776719	rs61776719	38461319	GNL2	38061336	38061836	38061586	-399733	399733	14	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.025063	10	A673-ENCODE|adipose_tissue-ENCODE|cardiac_muscle_cell-ENCODE|erythroblast-Corces2016|H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap|H1-hESC-ENCODE|H1-hESC-Roadmap|induced_pluripotent_stem_cell-ENCODE|iPS_DF_19.11-ENCODE|muscle_of_leg_fetal-ENCODE|muscle_of_leg_fetal-Roadmap|muscle_of_trunk_fetal-ENCODE|muscle_of_trunk_fetal-Roadmap|ovary-Roadmap|stomach_fetal-ENCODE|stomach_fetal-Roadmap|uterus-ENCODE	NA	NA	NA
chr1	36461319	40461319	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs61776719	rs61776719	38461319	RSPO1	38100345	38100845	38100595	-360724	360724	13	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.025906	9	adipose_tissue-ENCODE|foreskin_fibroblast-Roadmap|uterus-ENCODE	NA	NA	NA
chr1	36461319	40461319	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs61776719	rs61776719	38461319	C1orf109	38156017	38156517	38156267	-305052	305052	12	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.024394	12	A673-ENCODE|adipose_tissue-ENCODE|erythroblast-Corces2016|H1-hESC-ENCODE|H1-hESC-Roadmap|induced_pluripotent_stem_cell-ENCODE|muscle_of_leg_fetal-ENCODE|muscle_of_leg_fetal-Roadmap|muscle_of_trunk_fetal-ENCODE|muscle_of_trunk_fetal-Roadmap|ovary-Roadmap|stomach_fetal-ENCODE|stomach_fetal-Roadmap|trophoblast_cell-ENCODE|uterus-ENCODE	NA	NA	NA
chr1	36461319	40461319	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs61776719	rs61776719	38461319	CDCA8	38157822	38158322	38158072	-303247	303247	11	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.024395	11	A673-ENCODE|adipose_tissue-ENCODE|erythroblast-Corces2016|H1-hESC-ENCODE|H1-hESC-Roadmap|induced_pluripotent_stem_cell-ENCODE|muscle_of_leg_fetal-ENCODE|muscle_of_leg_fetal-Roadmap|muscle_of_trunk_fetal-ENCODE|muscle_of_trunk_fetal-Roadmap|ovary-Roadmap|stomach_fetal-ENCODE|stomach_fetal-Roadmap|trophoblast_cell-ENCODE|uterus-ENCODE	NA	NA	NA
chr1	36461319	40461319	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs61776719	rs61776719	38461319	EPHA10	38230574	38231074	38230824	-230495	230495	10	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.017806	16	H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap|iPS_DF_19.11-ENCODE	NA	NA	NA
chr1	36461319	40461319	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs61776719	rs61776719	38461319	MANEAL	38259523	38260023	38259773	-201546	201546	9	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.030809	8	A673-ENCODE|breast_epithelium-ENCODE|CD4-positive_helper_T_cell-ENCODE|CD8-positive_alpha-beta_T_cell-ENCODE|erythroblast-Corces2016|H1-hESC-ENCODE|H1-hESC-Roadmap|HAP1|IMR90-ENCODE|IMR90-Roadmap|LoVo	NA	NA	NA
chr1	36461319	40461319	CAD_Aragam2021	Aragam2021	CAD_Aragam2021-rs61776719	rs61776719	38461319	C1orf122	38273222	38273722	38273472	-187847	187847	8	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	0.034092	7	A673-ENCODE|adipose_tissue-ENCODE|cardiac_muscle_cell-ENCODE|CD4-positive_helper_T_cell-ENCODE|CD8-positive_alpha-beta_T_cell-ENCODE|erythroblast-Corces2016|fibroblast_of_lung_fetal-ENCODE|foreskin_fibroblast-Roadmap|H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap|H1-hESC-ENCODE|H1-hESC-Roadmap|HAP1|IMR90-ENCODE|IMR90-Roadmap|induced_pluripotent_stem_cell-ENCODE|iPS_DF_19.11_Cell_Line-Roadmap|iPS_DF_19.11-ENCODE|LoVo|muscle_of_leg_fetal-ENCODE|muscle_of_leg_fetal-Roadmap|muscle_of_trunk_fetal-ENCODE|muscle_of_trunk_fetal-Roadmap|ovary-Roadmap|stomach_fetal-ENCODE|stomach_fetal-Roadmap|trophoblast_cell-ENCODE|uterus-ENCODE	NA	NA	NA
